"provision_id";"country";"source_id";"source_title";"source_file";"source_type";"normative_rank";"article";"subdivision";"citation";"provision_text";"mechanism";"right_dimension";"actor";"authority";"obligation_or_faculty";"procedure";"requirement";"restriction";"remedy";"sanction_or_accountability";"legal_anchor_type";"anchor_strength";"operational_dependence";"gap_type";"confidence";"manual_review_required";"notes"
"CRC-CE-0001";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"1";"";"CRC-CE 1";"Principios que rigen en materia electoral En materia electoral, a falta de disposición expresa, se estará a los principios generales del Derecho.";"";"";"";"";"";"";"";"";"";"";"statutory";"3";"low";"none_detected";"medium";"false";""
"CRC-CE-0002";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"2";"";"CRC-CE 2";"Principios de participación política por género La participación política de hombres y mujeres es un derecho humano reconocido en una sociedad democrática, representativa, participativa e inclusiva, al amparo de los principios de igualdad y no discriminación. La participación se regirá por el principio de paridad que implica que todas las delegaciones, las nóminas y los demás órganos pares estarán integrados por un cincuenta por ciento (50%) de mujeres y un cincuenta por ciento (50%) de hombres, y en delegaciones, nóminas u órganos impares la diferencia entre el total de hombres y mujeres no podrá ser superior a uno. Todas las nóminas de elección utilizarán el mecanismo de alternancia por sexo (mujer-hombre u hombre-mujer), en forma tal que dos personas del mismo sexo no puedan estar en forma consecutiva en la nómina.";"right_to_stand_for_election|constitutional_remedies";"constitutional_remedy";"";"";"faculty";"";"";"yes";"yes";"";"statutory";"4";"low";"none_detected";"high";"false";""
"CRC-CE-0003";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"3";"";"CRC-CE 3";"Fuentes del ordenamiento jurídico electoral La jerarquía de las fuentes del ordenamiento jurídico electoral se sujetará al orden siguiente: > **a)** La Constitución Política. > > **b)** Los tratados internacionales vigentes en Costa Rica. > > **c)** Las leyes electorales. > > **d)** Los reglamentos, las directrices y las circulares emitidos por el Tribunal Supremo de Elecciones (TSE). > > **e)** Los estatutos de los partidos políticos debidamente inscritos. > > **f)** Las demás disposiciones subordinadas a los reglamentos y los estatutos partidarios. Las normas no escritas, como la jurisprudencia electoral, los principios del derecho electoral y la costumbre, tendrán el rango de la norma que interpretan, integran o delimitan. Las interpretaciones y opiniones consultivas del TSE son vinculantes erga omnes, excepto para el propio Tribunal, con la salvedad de lo dispuesto en el artículo 97 de la Constitución Política. Cuando el Tribunal varíe su jurisprudencia, opiniones consultivas o interpretaciones, deberá hacerlo mediante resolución debidamente razonada. **TÍTULO II** **ORGANISMOS ELECTORALES** ## **CAPÍTULO I** ## **DISPOSICIONES PRELIMINARES**";"political_parties|electoral_remedies|electoral_authority_internal_governance";"freedom_of_association";"TSE|Partidos_Politicos";"TSE";"";"";"";"";"";"";"statutory";"4";"medium";"none_detected";"high";"false";""
"CRC-CE-0004";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"4";"";"CRC-CE 4";"Organismos electorales Los organismos electorales son los siguientes: **a)** El TSE. **b)** El Registro Electoral. **c)** El Registro Civil. **d)** Las juntas electorales.";"vote|electoral_authority_internal_governance|civil_registry_electoral_functions";"";"TSE|Registro_Civil|Juntas_Electorales";"TSE|Registro_Civil";"";"yes";"";"";"";"";"statutory";"4";"low";"none_detected";"high";"false";""
"CRC-CE-0005";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"5";"";"CRC-CE 5";"Sede de los organismos electorales Los organismos electorales tendrán la siguiente sede: **a)** El TSE, la capital de la República, sin perjuicio de que, por acuerdo, sesione en cualquier lugar del país. > **b)** Las juntas cantonales, la cabecera de su jurisdicción. > > **c)** Las juntas receptoras, las que fije la Dirección General del Registro Civil al distribuir a los electores, conforme al artículo 155 de este Código.";"vote|electoral_authority_internal_governance|civil_registry_electoral_functions";"";"TSE|Registro_Civil|Juntas_Electorales|Ciudadanos";"TSE|Registro_Civil";"";"yes";"";"";"";"";"statutory";"4";"low";"none_detected";"high";"false";""
"CRC-CE-0006";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"6";"";"CRC-CE 6";"Ausencia de los integrantes La ausencia definitiva de los integrantes de los organismos electorales se llenará lo más pronto posible con un nuevo nombramiento, realizado en la forma que proceda jurídicamente.";"";"";"";"";"";"";"";"";"";"";"statutory";"3";"low";"none_detected";"medium";"false";""
"CRC-CE-0007";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"7";"";"CRC-CE 7";"Impedimentos para ser integrante No podrán ser integrantes de los organismos electorales las siguientes personas: **a)** Los funcionarios y los empleados a que se refiere el segundo párrafo del artículo 146 de este Código, salvo los funcionarios del Registro Civil, los funcionarios del TSE y los magistrados del TSE. **b)** En un mismo órgano electoral, en un mismo momento, el cónyuge, los hermanos, los padres e hijos, además de la unión de hecho. **c)** En el TSE, el cónyuge, los hermanos, los ascendientes o descendientes hasta tercer grado de consanguinidad o afinidad, de los candidatos cuya declaratoria de elección debe efectuar dicho Tribunal. No obstante, si estando ya integrado el Tribunal surge alguna candidatura que produzca la incompatibilidad apuntada, desde ese mismo momento el miembro en funciones afectado deberá excusarse de intervenir en el proceso electoral, sin perjuicio del derecho a su sueldo. Cuando se trate de los magistrados titulares del Tribunal, el impedimento cesará a partir de la declaratoria de elección.";"vote|right_to_stand_for_election|electoral_authority_internal_governance|civil_registry_electoral_functions";"passive_suffrage";"TSE|Registro_Civil";"TSE|Registro_Civil";"";"yes";"";"";"";"";"statutory";"4";"low";"none_detected";"high";"false";""
"CRC-CE-0008";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"8";"";"CRC-CE 8";"Prohibiciones para ejercer el cargo En los organismos electorales no podrá servir su cargo la persona que se presente armada, en estado de ebriedad o bajo el efecto de drogas que le impidan ejercer sus obligaciones. Inmediatamente después de desaparecido el impedimento entrará en funciones, sin perjuicio de las sanciones que resulten aplicables.";"";"";"";"";"faculty";"";"";"yes";"";"";"statutory";"3";"low";"none_detected";"medium";"false";""
"CRC-CE-0009";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"9";"";"CRC-CE 9";"Quórum y mayoría para las actuaciones Para que los organismos electorales de carácter colegiado actúen válidamente es necesaria, con las excepciones que expresamente se hacen en este Código, la asistencia de por lo menos la mitad más uno de los miembros. Los acuerdos se tomarán por mayoría absoluta. En caso de empate, la Presidencia tendrá voto de calidad, salvo lo dispuesto con respecto al TSE.";"vote|electoral_authority_internal_governance";"active_suffrage";"TSE";"TSE";"";"";"";"";"";"";"statutory";"4";"low";"none_detected";"high";"false";""
"CRC-CE-0010";"Costa Rica";"CRC-CE";"CÓDIGO ELECTORAL";"codigo_electoral_costa_rica.md";"codigo_ley";"3";"10";"";"CRC-CE 10";"Comunicación de los actos electorales La comunicación de los actos de los organismos electorales se regirá por las siguientes disposiciones: > **a)** Los actos de carácter general y los otros que disponga la ley se publicarán en el diario oficial La Gaceta o por medios electrónicos y, de estimarse pertinente, en cualquier otro diario de circulación nacional. > > **b)** Los acuerdos y las resoluciones se comunicarán por medio de edicto, estrados, apartados, fax, correo electrónico o cualquier otra forma que garantice la seguridad del acto de comunicación, conforme a la reglamentación que el Tribunal dicte al efecto. > > **c)** Las resoluciones y los acuerdos en materia electoral se comunicarán en el lugar o por el medio señalado a la persona interesada. Para tales efectos, toda persona interesada en su primera gestión o cuando sea prevenida al efecto por el organismo electoral, deberá indicar con precisión el lugar dentro del perímetro judicial respectivo o medio para atender notificaciones. En caso contrario, quedará notificada con solo el transcurso de veinticuatro horas después de dictadas. Igual consecuencia se producirá si el medio escogido imposibilita la notificación por causas ajenas al despacho, o bien, si el lugar señalado permanece cerrado, es impreciso, incierto o inexistente. > > **d)** La resolución que dé traslado a cualquier tipo de acción en materia electoral, sin que tenga la gestión previa, deberá notificarse a quien se traslada personalmente en su domicilio, su lugar de trabajo o por medio de correo certificado dirigido a cualquiera de estos lugares. Si no hay dirección disponible, podrá notificársele mediante edicto publicado en el diario oficial La Gaceta. Lo anterior no implica que se paralicen las demás actuaciones. > > **e)** Las juntas cantonales notificarán sus acuerdos mediante exposición de copia en la puerta de su local de trabajo. En cuanto a formalidades, requisitos y nulidades de la notificación no contemplados en este artículo o en s";"electoral_remedies|electoral_authority_internal_governance";"";"TSE";"TSE";"faculty";"";"";"";"";"";"statutory";"4";"low";"none_detected";"high";"false";""
