"country";"mechanism";"mechanism_id";"source_id";"source_type";"legal_anchor_type";"anchor_strength";"provision_count"
"Costa Rica";"right_to_stand_for_election";"CRC-MECH-002";"CRC-CE";"codigo_ley";"statutory";"4";"23"
"Costa Rica";"constitutional_remedies";"CRC-MECH-008";"CRC-CE";"codigo_ley";"statutory";"4";"13"
"Costa Rica";"political_parties";"CRC-MECH-003";"CRC-CE";"codigo_ley";"statutory";"4";"139"
"Costa Rica";"electoral_remedies";"CRC-MECH-007";"CRC-CE";"codigo_ley";"statutory";"4";"30"
"Costa Rica";"electoral_authority_internal_governance";"CRC-MECH-011";"CRC-CE";"codigo_ley";"statutory";"4";"128"
"Costa Rica";"vote";"CRC-MECH-001";"CRC-CE";"codigo_ley";"statutory";"4";"98"
"Costa Rica";"civil_registry_electoral_functions";"CRC-MECH-012";"CRC-CE";"codigo_ley";"statutory";"4";"28"
"Costa Rica";"transparency_and_accountability";"CRC-MECH-010";"CRC-CE";"codigo_ley";"statutory";"4";"29"
"Costa Rica";"legislative_petition_or_participation";"CRC-MECH-009";"CRC-CE";"codigo_ley";"statutory";"4";"1"
"Costa Rica";"referendum";"CRC-MECH-005";"CRC-CE";"codigo_ley";"statutory";"4";"1"
"Costa Rica";"vote";"CRC-MECH-001";"CRC-CPOL";"constitution";"constitutional";"5";"42"
"Costa Rica";"electoral_authority_internal_governance";"CRC-MECH-011";"CRC-CPOL";"constitution";"constitutional";"5";"20"
"Costa Rica";"civil_registry_electoral_functions";"CRC-MECH-012";"CRC-CPOL";"constitution";"constitutional";"5";"10"
"Costa Rica";"constitutional_remedies";"CRC-MECH-008";"CRC-CPOL";"constitution";"constitutional";"5";"2"
"Costa Rica";"citizen_initiative";"CRC-MECH-004";"CRC-CPOL";"constitution";"constitutional";"5";"1"
"Costa Rica";"political_parties";"CRC-MECH-003";"CRC-CPOL";"constitution";"constitutional";"5";"4"
"Costa Rica";"transparency_and_accountability";"CRC-MECH-010";"CRC-CPOL";"constitution";"constitutional";"5";"1"
"Costa Rica";"electoral_remedies";"CRC-MECH-007";"CRC-CPOL";"constitution";"constitutional";"5";"4"
"Costa Rica";"referendum";"CRC-MECH-005";"CRC-CPOL";"constitution";"constitutional";"5";"3"
"Costa Rica";"right_to_stand_for_election";"CRC-MECH-002";"CRC-CPOL";"constitution";"constitutional";"5";"6"
"Costa Rica";"legislative_petition_or_participation";"CRC-MECH-009";"CRC-CPOL";"constitution";"constitutional";"5";"11"
"Costa Rica";"vote";"CRC-MECH-001";"CRC-LCPREF";"statutory_law";"statutory";"4";"2"
"Costa Rica";"citizen_initiative";"CRC-MECH-004";"CRC-LCPREF";"statutory_law";"statutory";"4";"2"
"Costa Rica";"referendum";"CRC-MECH-005";"CRC-LCPREF";"statutory_law";"statutory";"4";"4"
