"country";"field";"value";"notes";"manual_review_required"
"Mexico";"country_name";"Mexico";"";"false"
"Mexico";"iso3";"MEX";"";"false"
"Mexico";"legal_family";"Civil law (Romano-Germanic); federal constitutional system";"";"false"
"Mexico";"constitutional_system";"Federal presidential republic";"";"false"
"Mexico";"constitution_title";"Constitución Política de los Estados Unidos Mexicanos (CPEUM)";"";"false"
"Mexico";"constitution_last_reform";"2026-04-23";"";"false"
"Mexico";"electoral_authority_primary";"Instituto Nacional Electoral (INE)";"";"false"
"Mexico";"electoral_tribunal_primary";"Tribunal Electoral del Poder Judicial de la Federación (TEPJF)";"";"false"
"Mexico";"suffrage_type";"Universal, direct, secret, equal, free (Art. 35 Fr. I CPEUM)";"";"false"
"Mexico";"voting_age";"18";"Art. 34 CPEUM";"false"
"Mexico";"treaty_reception";"Monist with constitutional supremacy; Art. 1 CPEUM (2011 reform) — pro persona";"";"false"
"Mexico";"key_constitutional_articles";"34,35,36,38,40,41,54,99,108,116,122";"";"false"
"Mexico";"corpus_note_international_standards";"ICCPR Art.25, ACHR Art.23, HRC GC25, CEDAW Art.7, CRPD Art.29 not in corpus — conventionality analysis requires manual review";"";"true"
"Mexico";"corpus_note_state_legislation";"Sub-national (state) electoral legislation not in corpus";"";"true"
"Mexico";"corpus_note_jurisprudence";"No TEPJF/SCJN jurisprudence text files in corpus";"";"true"
"Mexico";"corpus_note_scjn_2023";"2023 electoral reform (DOF 02-03-2023) substantially invalidated by SCJN (DOF 24-11-2023) — affected provisions restored to pre-reform text";"";"true"
"Mexico";"pipeline_run_date";"2026-05-18";"Offline deterministic pipeline";"false"
