"mechanism_id";"country";"mechanism_name";"legal_preparedness_relevance";"constitutional_sources";"statutory_sources";"regulatory_or_procedural_sources";"administrative_sources";"interpretive_sources";"core_legal_elements";"likely_legal_anchor_strength";"operational_dependence";"manual_review_required";"notes"
"MEX-MECH-001";"Mexico";"vote";"core";"";"";"";"";"";"";"5";"low";"false";""
"MEX-MECH-002";"Mexico";"right_to_stand_for_election";"core";"";"";"";"";"";"";"5";"low";"false";""
"MEX-MECH-003";"Mexico";"political_parties";"core";"";"";"";"";"";"";"5";"low";"false";""
"MEX-MECH-004";"Mexico";"independent_candidacies";"core";"";"";"";"";"";"";"5";"medium";"false";""
"MEX-MECH-005";"Mexico";"citizen_initiative";"core";"";"";"";"";"";"";"4";"medium";"false";""
"MEX-MECH-006";"Mexico";"popular_consultation";"core";"";"";"";"";"";"";"5";"medium";"false";""
"MEX-MECH-007";"Mexico";"recall";"core";"";"";"";"";"";"";"5";"medium";"false";""
"MEX-MECH-008";"Mexico";"electoral_remedies";"core";"";"";"";"";"";"";"5";"low";"false";""
"MEX-MECH-009";"Mexico";"electoral_crimes";"core";"";"";"";"";"";"";"5";"low";"false";""
"MEX-MECH-010";"Mexico";"legislative_petition_or_participation";"secondary";"";"";"";"";"";"";"3";"medium";"false";""
"MEX-MECH-011";"Mexico";"transparency_and_accountability";"secondary";"";"";"";"";"";"";"4";"medium";"false";""
"MEX-MECH-012";"Mexico";"administrative_responsibility";"secondary";"";"";"";"";"";"";"4";"medium";"false";""
"MEX-MECH-013";"Mexico";"electoral_authority_internal_governance";"secondary";"";"";"";"";"";"";"5";"low";"false";""
