"country","mechanism_id","mechanism_name","mechanism_category","total_edge_count","statutory_edges","constitutional_edges","admin_edges","unclassified_edges","low_confidence_edges","statutory_share","constitutional_share","admin_share","low_confidence_share","dependence_level","notes"
"Costa Rica","CRC-MECH-CITIZEN_INIT","citizen_initiative","legislative","23","17","6","0","0","0","0.7391","0.2609","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-CIVIL_REGIST","civil_registry_electoral_functions","registry","39","39","0","0","0","0","1.0","0.0","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-CONSTITUTION","constitutional_remedies","remedy","39","16","23","0","0","0","0.4103","0.5897","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","30","23","0","7","0","7","0.7667","0.0","0.2333","0.2333","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-ELECTORAL_AU","electoral_authority_internal_governance","governance","39","39","0","0","0","0","1.0","0.0","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-ELECTORAL_RE","electoral_remedies","remedy","39","39","0","0","0","0","1.0","0.0","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-LEGISLATIVE_","legislative_petition_or_participation","legislative","30","10","20","0","0","0","0.3333","0.6667","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-POLITICAL_PA","political_parties","party_governance","39","39","0","0","0","0","1.0","0.0","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","39","31","8","0","0","0","0.7949","0.2051","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-RIGHT_TO_STA","right_to_stand_for_election","candidacy","39","30","9","0","0","0","0.7692","0.2308","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-TRANSPARENCY","transparency_and_accountability","transparency","39","38","0","1","0","1","0.9744","0.0","0.0256","0.0256","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Costa Rica","CRC-MECH-VOTE","vote","participation","39","39","0","0","0","0","1.0","0.0","0.0","0.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-001","vote","participation","40","30","0","10","0","28","0.75","0.0","0.25","0.7","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","40","40","0","0","0","33","1.0","0.0","0.0","0.825","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-003","political_parties","party_governance","40","37","0","3","0","26","0.925","0.0","0.075","0.65","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","40","40","0","0","0","38","1.0","0.0","0.0","0.95","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-005","citizen_initiative","legislative","32","19","13","0","0","17","0.5938","0.4062","0.0","0.5312","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-006","popular_consultation","participation","31","6","9","16","0","14","0.1935","0.2903","0.5161","0.4516","medium","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-007","recall","participation","31","10","15","6","0","16","0.3226","0.4839","0.1935","0.5161","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-008","electoral_remedies","remedy","40","39","0","1","0","26","0.975","0.0","0.025","0.65","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","40","39","0","1","0","40","0.975","0.0","0.025","1.0","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","31","19","9","3","0","23","0.6129","0.2903","0.0968","0.7419","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","40","34","0","6","0","28","0.85","0.0","0.15","0.7","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","40","40","0","0","0","38","1.0","0.0","0.0","0.95","low","high admin dependence = ≥60% edges from admin/regulatory sources"
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","40","30","0","10","0","20","0.75","0.0","0.25","0.5","low","high admin dependence = ≥60% edges from admin/regulatory sources"
