"country","mechanism_id","mechanism_name","mechanism_category","node_count","edge_count","dominant_actor_id","dominant_actor_name","dominant_actor_degree","dominant_actor_edge_share","single_actor_concentration","bottleneck_risk","bottleneck_actors","notes"
"Costa Rica","CRC-MECH-CITIZEN_INIT","citizen_initiative","legislative","7","23","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","7","0.1522","0.1522","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-CIVIL_REGIST","civil_registry_electoral_functions","registry","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-CONSTITUTION","constitutional_remedies","remedy","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","8","30","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","8","0.1333","0.1333","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-ELECTORAL_AU","electoral_authority_internal_governance","governance","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-ELECTORAL_RE","electoral_remedies","remedy","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-LEGISLATIVE_","legislative_petition_or_participation","legislative","8","30","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","8","0.1333","0.1333","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-POLITICAL_PA","political_parties","party_governance","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-RIGHT_TO_STA","right_to_stand_for_election","candidacy","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-TRANSPARENCY","transparency_and_accountability","transparency","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Costa Rica","CRC-MECH-VOTE","vote","participation","9","39","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","0.1154","0.1154","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-001","vote","participation","9","40","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","9","40","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-003","political_parties","party_governance","9","40","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","9","40","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-005","citizen_initiative","legislative","8","32","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","9","0.1406","0.1406","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-006","popular_consultation","participation","8","31","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","9","0.1452","0.1452","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-007","recall","participation","8","31","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","9","0.1452","0.1452","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-008","electoral_remedies","remedy","9","40","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","9","40","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","8","31","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","9","0.1452","0.1452","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","9","40","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","9","40","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","9","40","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","10","0.125","0.125","low","","high risk = >50% edge share; medium = 30-50%"
