"edge_id","country","source_actor_id","source_actor_name","source_role","target_actor_id","target_actor_name","target_role","mechanism_id","mechanism_name","mechanism_category","relationship_type","process_stage","edge_confidence","legal_anchor_type","anchor_strength","anchor_category","derivation_method","manual_review_required","notes"
"MEX-EDGE-0001","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-001","vote","participation","administers","registration","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0002","Mexico","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-001","vote","participation","coordinates_with","registration","medium","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0003","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-001","vote","participation","coordinates_with","results_certification","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0004","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","medium","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0005","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-001","vote","participation","coordinates_with","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0006","Mexico","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-001","vote","participation","coordinates_with","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0007","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-001","vote","participation","coordinates_with","electoral_dispute_resolution","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0008","Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","MEX-MECH-001","vote","participation","investigates","registration","medium","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0009","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-001","vote","participation","regulates","registration","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0010","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-001","vote","participation","reviews","registration","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0011","Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supervisor","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-001","vote","participation","oversees","registration","medium","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0012","Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislator","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-001","vote","participation","mandates","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0013","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","subordinate","MEX-MECH-001","vote","participation","supervises","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0014","Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","supervisor","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-001","vote","participation","oversees","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0015","Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-MECH-001","vote","participation","refers_to","registration","low","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0016","Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","enforcer","MEX-ACT-001","Instituto Nacional Electoral (INE)","orchestrator","MEX-MECH-001","vote","participation","reports_to","registration","medium","statutory","4","statutory","role_hierarchy_with_relationship_type_hint","false",""
"MEX-EDGE-0017","Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","adjudicator","MEX-ACT-006","Partidos Políticos Nacionales","political_actor","MEX-MECH-001","vote","participation","reviews","results_certification","low","electoral_administrative","2","administrative","role_hierarchy_with_relationship_type_hint","false",""
