"country","actor_id","actor_name","actor_type","network_role","mechanism_count","mechanisms","legal_preparedness_role","manual_review_required","notes"
"Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","autonomous_electoral_authority","orchestrator","6","vote|right_to_stand_for_election|political_parties|popular_consultation|recall|electoral_authority_internal_governance","primary_electoral_administrator","false",""
"Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","electoral_court","adjudicator","3","electoral_remedies|popular_consultation|recall","supreme_electoral_tribunal","false",""
"Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supreme_court","supervisor","2","popular_consultation|electoral_remedies","constitutional_review_court","false",""
"Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislative_body","legislator","3","citizen_initiative|legislative_petition_or_participation|popular_consultation","legislature","false",""
"Mexico","MEX-ACT-005","Congreso de la Unión — Senado de la República","legislative_body","legislator","3","citizen_initiative|legislative_petition_or_participation|popular_consultation","legislature","false",""
"Mexico","MEX-ACT-006","Partidos Políticos Nacionales","political_organization","political_actor","3","political_parties|vote|right_to_stand_for_election","political_actor","false",""
"Mexico","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","rights_holder","6","vote|right_to_stand_for_election|citizen_initiative|popular_consultation|recall|legislative_petition_or_participation","primary_rights_holder","false",""
"Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","prosecutorial_authority","enforcer","1","electoral_crimes","electoral_crimes_prosecutor","false",""
"Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","oversight_body","supervisor","1","administrative_responsibility","administrative_oversight","false",""
"Mexico","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","local_electoral_authority","subordinate","2","vote|right_to_stand_for_election","local_electoral_administrator","true",""
"Costa Rica","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","constitutional_electoral_authority","orchestrator","9","vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum|consultative_referendum_or_preliminary_consultation|electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions","supreme_and_exclusive_electoral_authority","false","CRITICAL: TSE has constitutional rank = Branches of Government (Art. 9). Exclusive, non-reviewable jurisdiction (Art. 103). NOT an administrative body."
"Costa Rica","CRC-ACT-002","Registro Civil","civil_registry_electoral_body","subordinate","2","civil_registry_electoral_functions|vote","civil_registry_and_electoral_rolls","false","Under exclusive TSE dependence (Art. 104 CPCR). Decisions appealable to TSE."
"Costa Rica","CRC-ACT-003","Juntas Electorales","subordinate_electoral_body","subordinate","1","vote","voting_day_administrator","false","Juntas Receptoras de Votos. Decisions appealable to TSE."
"Costa Rica","CRC-ACT-004","Sala Constitucional (Sala IV)","constitutional_court","adjudicator","2","constitutional_remedies|consultative_referendum_or_preliminary_consultation","constitutional_court","false","Amparo, habeas corpus, unconstitutionality. Defers to TSE on strictly electoral matters. Sala IV jurisprudence not in corpus."
"Costa Rica","CRC-ACT-005","Asamblea Legislativa","legislative_body","legislator","4","citizen_initiative|referendum|legislative_petition_or_participation|political_parties","legislature","false","Must consult TSE on electoral legislation (Art. 97 CPCR). 2/3 majority to override TSE opinion."
"Costa Rica","CRC-ACT-006","Partidos Políticos","political_organization","political_actor","3","political_parties|vote|right_to_stand_for_election","political_actor","false","Constitutional recognition (Art. 98). State financing (Art. 96). Must maintain democratic internal structure."
"Costa Rica","CRC-ACT-007","Ciudadanos / Ciudadanas","rights_holder","rights_holder","5","vote|right_to_stand_for_election|citizen_initiative|referendum|legislative_petition_or_participation","primary_rights_holder","false","CR citizens 18+. Naturalized citizens: 12 months before first vote (Art. 94 CPCR). Suffrage is obligatory."
"Costa Rica","CRC-ACT-008","Poder Ejecutivo","executive_power","executive","1","referendum","secondary_political_actor","false","Can request referendum (Ley Referéndum). Limited electoral role."
"Costa Rica","CRC-ACT-009","Corte Suprema de Justicia","supreme_court","supervisor","1","electoral_authority_internal_governance","appointing_body_for_tse","false","Appoints TSE Magistrados by 2/3 vote (Art. 100 CPCR). Hosts Sala Constitucional."
