"country","mechanism_id","mechanism_name","mechanism_category","node_count","edge_count","network_density","top_actor_id","top_actor_name","top_actor_degree","orchestrator_count","adjudicator_count","subordinate_count","statutory_edge_share","constitutional_edge_share","admin_edge_share","high_confidence_edge_share","low_confidence_edge_share","bottleneck_risk","implementation_readiness_score","notes"
"Costa Rica","CRC-MECH-CITIZEN_INIT","citizen_initiative","legislative","7","23","0.5476","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","7","1","1","1","0.7391","0.2609","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-CIVIL_REGIST","civil_registry_electoral_functions","registry","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","5",""
"Costa Rica","CRC-MECH-CONSTITUTION","constitutional_remedies","remedy","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","0.4103","0.5897","0.0","0.0","0.0","low","5",""
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","8","30","0.5357","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","8","1","1","1","0.7667","0.0","0.2333","0.0","0.2333","low","",""
"Costa Rica","CRC-MECH-ELECTORAL_AU","electoral_authority_internal_governance","governance","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-ELECTORAL_RE","electoral_remedies","remedy","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","5",""
"Costa Rica","CRC-MECH-LEGISLATIVE_","legislative_petition_or_participation","legislative","8","30","0.5357","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","8","1","1","1","0.3333","0.6667","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-POLITICAL_PA","political_parties","party_governance","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","1.0","0.0","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","0.7949","0.2051","0.0","0.0","0.0","low","4",""
"Costa Rica","CRC-MECH-RIGHT_TO_STA","right_to_stand_for_election","candidacy","9","39","0.5417","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","9","1","1","2","0.7692","0.2308","0.0","0.0","0.0","low","4",""
