"country","mechanism_id","mechanism_name","mechanism_category","process_stage","stage_actor_count","actors_in_stage","stage_covered","coverage_notes"
"Costa Rica","CRC-MECH-CITIZEN_INIT","citizen_initiative","legislative","citizen_initiative_processing","7","CRC-ACT-001|CRC-ACT-002|CRC-ACT-004|CRC-ACT-005|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-CITIZEN_INIT","citizen_initiative","legislative","results_certification","5","CRC-ACT-002|CRC-ACT-004|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-CIVIL_REGIST","civil_registry_electoral_functions","registry","civil_registry_functions","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-CONSTITUTION","constitutional_remedies","remedy","electoral_dispute_resolution","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-CONSTITUTION","constitutional_remedies","remedy","constitutional_review","0","","true",""
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","registration","8","CRC-ACT-001|CRC-ACT-002|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","voting_day_administration","0","","true",""
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","vote_counting_and_tabulation","0","","true",""
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","results_certification","6","CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-CONSULTATIVE","consultative_referendum_or_preliminary_consultation","participation","electoral_dispute_resolution","5","CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-ELECTORAL_AU","electoral_authority_internal_governance","governance","internal_governance","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-ELECTORAL_RE","electoral_remedies","remedy","electoral_dispute_resolution","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-ELECTORAL_RE","electoral_remedies","remedy","constitutional_review","0","","true",""
"Costa Rica","CRC-MECH-LEGISLATIVE_","legislative_petition_or_participation","legislative","citizen_initiative_processing","8","CRC-ACT-001|CRC-ACT-002|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-LEGISLATIVE_","legislative_petition_or_participation","legislative","results_certification","6","CRC-ACT-002|CRC-ACT-004|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-POLITICAL_PA","political_parties","party_governance","party_registration_and_oversight","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-POLITICAL_PA","political_parties","party_governance","campaign","8","CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-POLITICAL_PA","political_parties","party_governance","transparency_and_reporting","0","","true",""
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","registration","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","voting_day_administration","0","","true",""
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","vote_counting_and_tabulation","0","","true",""
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","results_certification","6","CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-REFERENDUM","referendum","participation","electoral_dispute_resolution","5","CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-RIGHT_TO_STA","right_to_stand_for_election","candidacy","nomination_or_candidacy","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-RIGHT_TO_STA","right_to_stand_for_election","candidacy","results_certification","0","","true",""
"Costa Rica","CRC-MECH-RIGHT_TO_STA","right_to_stand_for_election","candidacy","electoral_dispute_resolution","5","CRC-ACT-002|CRC-ACT-003|CRC-ACT-005|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-TRANSPARENCY","transparency_and_accountability","transparency","transparency_and_reporting","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-VOTE","vote","participation","registration","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-VOTE","vote","participation","voting_day_administration","0","","true",""
"Costa Rica","CRC-MECH-VOTE","vote","participation","vote_counting_and_tabulation","0","","true",""
"Costa Rica","CRC-MECH-VOTE","vote","participation","results_certification","6","CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Costa Rica","CRC-MECH-VOTE","vote","participation","electoral_dispute_resolution","5","CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","true",""
"Mexico","MEX-MECH-001","vote","participation","registration","9","MEX-ACT-001|MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009|MEX-ACT-010","true",""
"Mexico","MEX-MECH-001","vote","participation","voting_day_administration","0","","true",""
"Mexico","MEX-MECH-001","vote","participation","vote_counting_and_tabulation","0","","true",""
"Mexico","MEX-MECH-001","vote","participation","results_certification","7","MEX-ACT-002|MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009","true",""
"Mexico","MEX-MECH-001","vote","participation","electoral_dispute_resolution","6","MEX-ACT-003|MEX-ACT-004|MEX-ACT-006|MEX-ACT-007|MEX-ACT-008|MEX-ACT-009","true",""
