"country","actor_id","actor_name","actor_type","network_role","in_degree","out_degree","degree","degree_centrality","betweenness_centrality","mechanism_participation_count","high_medium_edge_count","notes"
"Mexico","MEX-ACT-001","Instituto Nacional Electoral (INE)","autonomous_electoral_authority","orchestrator","142","165","307","17.055556","0.097222","13","176","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","electoral_court","adjudicator","118","126","244","13.555556","0.0","9","135","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","supreme_court","supervisor","127","147","274","15.222222","0.0","10","151","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","legislative_body","legislator","162","170","332","18.444444","0.0","13","195","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-005","Congreso de la Unión — Senado de la República","legislative_body","legislator","0","3","3","0.166667","0.0","1","3","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-006","Partidos Políticos Nacionales","political_organization","political_actor","136","58","194","10.777778","0.0","3","66","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-007","Ciudadanos / Ciudadanas","rights_holder","rights_holder","145","31","176","9.777778","0.0","10","52","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-008","Fiscalía General de la República (FGR)","prosecutorial_authority","enforcer","79","90","169","9.388889","0.0","8","84","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","oversight_body","supervisor","77","155","232","12.888889","0.0","7","100","betweenness computed from high/medium-confidence edges only"
"Mexico","MEX-ACT-010","Organismos Públicos Locales (OPLEs)","local_electoral_authority","subordinate","61","102","163","9.055556","0.0","8","42","betweenness computed from high/medium-confidence edges only"
"Costa Rica","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","constitutional_electoral_authority","orchestrator","49","92","141","8.8125","0.0","8","106","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
"Costa Rica","CRC-ACT-002","Registro Civil","civil_registry_electoral_body","subordinate","29","59","88","5.5","0.0","4","56","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
"Costa Rica","CRC-ACT-003","Juntas Electorales","subordinate_electoral_body","subordinate","14","0","14","0.875","0.0","1","8","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
"Costa Rica","CRC-ACT-004","Sala Constitucional (Sala IV)","constitutional_court","adjudicator","22","33","55","3.4375","0.0","4","32","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
"Costa Rica","CRC-ACT-005","Asamblea Legislativa","legislative_body","legislator","46","84","130","8.125","0.0","10","92","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
"Costa Rica","CRC-ACT-006","Partidos Políticos","political_organization","political_actor","21","0","21","1.3125","0.0","3","16","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
"Costa Rica","CRC-ACT-007","Ciudadanos / Ciudadanas","rights_holder","rights_holder","41","0","41","2.5625","0.0","6","27","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
"Costa Rica","CRC-ACT-008","Poder Ejecutivo","executive_power","executive","59","0","59","3.6875","0.0","11","55","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
"Costa Rica","CRC-ACT-009","Corte Suprema de Justicia","supreme_court","supervisor","28","41","69","4.3125","0.0","7","44","betweenness computed from high/medium-confidence edges only; bc_all_zero: graph too dense for meaningful betweenness — use degree_centrality"
