"country","mechanism_id","mechanism_name","mechanism_category","total_edges","high_med_edges","statutory_edges","constitutional_edges","admin_edges","unclassified_edges","low_confidence_edges","statutory_share_hi_med","constitutional_share_hi_med","admin_share_hi_med","dependence_level","notes"
"Costa Rica","COS-MECH-","","other","12","8","4","3","1","0","4","0.5","0.375","0.125","low","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-001","vote","participation","145","111","70","17","24","0","34","0.6306","0.1532","0.2162","low","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-002","right_to_stand_for_election","candidacy","16","8","4","2","2","0","8","0.5","0.25","0.25","low","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-003","political_parties","party_governance","15","11","5","2","4","0","4","0.4545","0.1818","0.3636","medium","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-004","citizen_initiative","legislative","10","8","2","0","6","0","2","0.25","0.0","0.75","high","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-005","referendum","participation","7","7","6","0","1","0","0","0.8571","0.0","0.1429","low","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","2","0","0","0","0","0","2","0.0","0.0","0.0","low","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-007","electoral_remedies","remedy","19","8","6","2","0","0","11","0.75","0.25","0.0","low","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-008","constitutional_remedies","remedy","28","18","15","0","3","0","10","0.8333","0.0","0.1667","low","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-009","legislative_petition_or_participation","legislative","6","3","0","1","2","0","3","0.0","0.3333","0.6667","high","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-010","transparency_and_accountability","transparency","1","1","0","0","1","0","0","0.0","0.0","1.0","high","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-011","electoral_authority_internal_governance","governance","46","35","20","13","2","0","11","0.5714","0.3714","0.0571","low","shares computed from high/medium-confidence edges only"
"Costa Rica","CRC-MECH-012","civil_registry_electoral_functions","registry","2","0","0","0","0","0","2","0.0","0.0","0.0","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-","","other","61","47","35","9","3","0","14","0.7447","0.1915","0.0638","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-001","vote","participation","243","183","130","41","12","0","60","0.7104","0.224","0.0656","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","80","25","20","4","0","1","55","0.8","0.16","0.0","statutory","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-003","political_parties","party_governance","173","92","71","15","6","0","81","0.7717","0.163","0.0652","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","29","2","2","0","0","0","27","1.0","0.0","0.0","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-005","citizen_initiative","legislative","8","4","4","0","0","0","4","1.0","0.0","0.0","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-006","popular_consultation","participation","52","18","14","3","1","0","34","0.7778","0.1667","0.0556","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-007","recall","participation","30","11","11","0","0","0","19","1.0","0.0","0.0","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-008","electoral_remedies","remedy","97","32","25","6","1","0","65","0.7812","0.1875","0.0312","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","9","7","6","0","1","0","2","0.8571","0.0","0.1429","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","12","0","0","0","0","0","12","0.0","0.0","0.0","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","91","15","7","8","0","0","76","0.4667","0.5333","0.0","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","69","36","14","22","0","0","33","0.3889","0.6111","0.0","low","shares computed from high/medium-confidence edges only"
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","93","30","8","21","1","0","63","0.2667","0.7","0.0333","low","shares computed from high/medium-confidence edges only"
