"edge_id","country","mechanism_id","mechanism_name","source_actor_id","source_actor_name","target_actor_id","target_actor_name","relationship_type","process_stage","domestic_source_id","citation","legal_text_excerpt","legal_anchor_type","anchor_strength","mandatory_or_discretionary","timeline_defined","remedy_available","territorial_level","edge_confidence","edge_derivation_method","manual_review_required","notes","exclusion_reason"
"MEXV2-EDGE-0001","Mexico","MEX-MECH-001","vote","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 47 Num. 17","17.  El  artículo 58, párrafo  1, incisos  e),  f),  g), m) y n) de  la LGIPE, en concordancia con  el  artículo 49, párrafo 1, incisos e) y aa) del RIINE  establece que es atribución de la DECEyEC, e","electoral_administrative","2","discretionary","no","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0002","Mexico","MEX-MECH-001","vote","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 55 Num. 19","19.  El artículo 73, párrafo 1, incisos a) al d), de la LGIPE, en relación con el diverso 58, párrafo 2, incisos a) y b), del RIINE, confiere a las Juntas Distritales  Ejecutivas,  entre  otras,  las ","electoral_administrative","2","discretionary","no","no","yes","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0003","Mexico","MEX-MECH-","","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 55 Num. 21","21.  El  artículo 217 de  la LGIPE establece  las bases para que  las y  los ciudadanos ejerza su derecho como acreditarse como observadoras/es electorales.","electoral_administrative","1","discretionary","no","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0004","Mexico","MEX-MECH-001","vote","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 55 Num. 35","35.  El artículo 49 de la LFCP señala que en la jornada de Consulta Popular las y los ciudadanos acudirán ante las mesas directivas de casilla para expresar el sentido de su voluntad pronunciándose po","electoral_administrative","2","discretionary","no","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0005","Mexico","MEX-MECH-001","vote","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 55 Num. 38","38.  El artículo 52 de  la LFCP se establece que, en caso de ausencia del escrutador designado para el escrutinio y cómputo de la Consulta Popular, las  funciones  las  realizarán  cualquiera de  los ","electoral_administrative","2","discretionary","no","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0007","Mexico","MEX-MECH-001","vote","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 55 Num. 49","49.  La Consulta Popular es un mecanismo de participación de democracia directa por el cual la ciudadanía ejerce uno de los derechos humanos en materia política, a través del voto emitido, mediante el","electoral_administrative","2","discretionary","no","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0008","Mexico","MEX-MECH-003","political_parties","MEX-ACT-006","Partidos Políticos Nacionales","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 55 Num. 64","64.  Con el propósito de mantener la integración de los órganos colegiados del Instituto, se invitará a los partidos políticos a conocer los avances de la organización de  la Consulta Popular, en  los","electoral_administrative","2","discretionary","yes","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0009","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 55 Num. 65","65.  Se autorizará que las y los ciudadanos que obtengan su acreditación como observadoras y observadores electorales en el Proceso Electoral 2020  - 2021, puedan desempeñarse nuevamente en  la Consul","electoral_administrative","2","discretionary","no","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0013","Mexico","MEX-MECH-","","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 217 Fr. III.","III.   Cuadros para el “SÍ” y para el “NO”, colocados simétricamente y en tamaño apropiado para facilitar su identificación por la ciudadanía al momento de emitir su opinión;","electoral_administrative","1","discretionary","no","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
"MEXV2-EDGE-0014","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-007","Ciudadanos / Ciudadanas","","","unknown_functional_relationship","unknown_stage","MEX-INECP","MEX-INECP 217 Fr. I.","I.  Las papeletas de  la Consulta Popular, en número  igual  al de  las y  los ciudadanos que figuren en la LNEFCP para cada MRCP;","electoral_administrative","2","discretionary","no","no","no","exclude","excluded_comention_only","false","","no authority field; co-mention only"
