"edge_id","country","mechanism_id","mechanism_name","source_actor_id","source_actor_name","target_actor_id","target_actor_name","relationship_type","process_stage","domestic_source_id","citation","legal_text_excerpt","legal_anchor_type","anchor_strength","mandatory_or_discretionary","timeline_defined","remedy_available","territorial_level","edge_confidence","edge_derivation_method","manual_review_required","notes"
"MEXV2-EDGE-0006","Mexico","MEX-MECH-","","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","MEX-ACT-007","Ciudadanos / Ciudadanas","appoints_or_designates","implementation","MEX-INECP","MEX-INECP 55 Num. 45","45.  El artículo 60 de la LFCP establece que, si al término del cómputo distrital se establece que la diferencia entre el “SÍ” y “NO” es igual o menor a un punto porcentual, el Consejo Distrital deber","electoral_administrative","1","discretionary","yes","no","yes","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0010","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-006","Partidos Políticos Nacionales","organizes_process","organization","MEX-INECP","MEX-INECP 55 Num. 69","69.  Para la emisión de la opinión en la Consulta Popular, se autoriza hacer uso de instrumentos de votación electrónica, a propuesta de la CCOE. Por lo anteriormente expuesto y fundado se emite el si","electoral_administrative","2","discretionary","no","no","yes","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0011","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-007","Ciudadanos / Ciudadanas","organizes_process","organization","MEX-INECP","MEX-INECP 55 Num. 69","69.  Para la emisión de la opinión en la Consulta Popular, se autoriza hacer uso de instrumentos de votación electrónica, a propuesta de la CCOE. Por lo anteriormente expuesto y fundado se emite el si","electoral_administrative","2","discretionary","no","no","yes","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0012","Mexico","MEX-MECH-006","popular_consultation","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-007","Ciudadanos / Ciudadanas","organizes_process","organization","MEX-INECP","MEX-INECP 303 Fr. III.","III. Garantizar, en lo conducente, el derecho político y de participación ciudadana de la ciudadanía, para que emitan su opinión en la Consulta Popular. Artículo 4. Para cumplir con el objeto de los ","electoral_administrative","2","discretionary","no","no","no","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0015","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-007","Ciudadanos / Ciudadanas","unknown_functional_relationship","voting_or_participation","MEX-INECP","MEX-INECP 54 Fr. II.","II. La o  el Escrutador contará en dos ocasiones  el número de ciudadanos y ciudadanas que aparezca que emitieron su opinión conforme a las marcas “VOTÓ” indicadas en la LNEFCP, sumando, en su caso, e","electoral_administrative","2","discretionary","no","no","no","low","explicit_textual_relation","false",""
"MEXV2-EDGE-0016","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","coordinates_with","internal_governance","MEX-INECP","MEX-INECP 54 Num. 5","5. Los resultados de encuestas por muestreo o sondeos de opinión que se publiquen por cualquier medio deberán especificar, en la publicación misma, la  Lineamientos del Instituto Nacional Electoral pa","electoral_administrative","2","mandatory","yes","no","no","low","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0017","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-INECP","MEX-INECP 54 Num. 5","5. Los resultados de encuestas por muestreo o sondeos de opinión que se publiquen por cualquier medio deberán especificar, en la publicación misma, la  Lineamientos del Instituto Nacional Electoral pa","electoral_administrative","2","mandatory","yes","no","no","low","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0018","Mexico","MEX-MECH-001","vote","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-007","Ciudadanos / Ciudadanas","validates_signatures","organization","MEX-INECP","MEX-INECP 54 Fr. IV.","IV. Informe de la presidencia del CD sobre el desarrollo del Proceso de la Consulta Popular. Artículo 78. Las presidencias de  los CD conservarán en su poder una copia certificada de las Actas y docu","electoral_administrative","2","discretionary","yes","no","yes","medium","explicit_textual_relation","false",""
"MEXV2-EDGE-0019","Mexico","MEX-MECH-001","vote","MEX-ACT-001","Instituto Nacional Electoral (INE)","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","coordinates_with","internal_governance","MEX-INECP","MEX-INECP 54 Fr. IV.","IV. Informe de la presidencia del CD sobre el desarrollo del Proceso de la Consulta Popular. Artículo 78. Las presidencias de  los CD conservarán en su poder una copia certificada de las Actas y docu","electoral_administrative","2","discretionary","yes","no","yes","low","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0020","Mexico","MEX-MECH-001","vote","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","coordinates_with","internal_governance","MEX-INECP","MEX-INECP 54 Fr. IV.","IV. Informe de la presidencia del CD sobre el desarrollo del Proceso de la Consulta Popular. Artículo 78. Las presidencias de  los CD conservarán en su poder una copia certificada de las Actas y docu","electoral_administrative","2","discretionary","yes","no","yes","low","coordination_assignment","false","multi-authority provision"
"MEXV2-EDGE-0021","Mexico","MEX-MECH-001","vote","MEX-ACT-003","Suprema Corte de Justicia de la Nación (SCJN)","MEX-ACT-001","Instituto Nacional Electoral (INE)","coordinates_with","internal_governance","MEX-INECP","MEX-INECP 54 Fr. IV.","IV. Informe de la presidencia del CD sobre el desarrollo del Proceso de la Consulta Popular. Artículo 78. Las presidencias de  los CD conservarán en su poder una copia certificada de las Actas y docu","electoral_administrative","2","discretionary","yes","no","yes","low","coordination_assignment","false","multi-authority provision"
