"country","mechanism_id","mechanism_name","mechanism_category","node_count_all","node_count_hi_med","edge_count_all","edge_count_hi_med","network_density_hi_med","top_actor_id","top_actor_name","top_actor_degree_hi_med","high_edge_count","medium_edge_count","low_edge_count","bottleneck_risk","implementation_readiness_score","notes"
"Costa Rica","COS-MECH-","","other","3","3","12","8","0.6667","CRC-ACT-005","Asamblea Legislativa","3","0","8","4","medium","",""
"Costa Rica","CRC-MECH-001","vote","participation","9","9","145","111","0.5556","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","12","23","88","34","low","5",""
"Costa Rica","CRC-MECH-002","right_to_stand_for_election","candidacy","8","7","16","8","0.1905","CRC-ACT-005","Asamblea Legislativa","4","1","7","8","low","4",""
"Costa Rica","CRC-MECH-003","political_parties","party_governance","6","5","15","11","0.35","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","5","2","9","4","medium","4",""
"Costa Rica","CRC-MECH-004","citizen_initiative","legislative","5","5","10","8","0.3","CRC-ACT-005","Asamblea Legislativa","4","2","6","2","medium","4",""
"Costa Rica","CRC-MECH-005","referendum","participation","5","5","7","7","0.35","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","6","0","7","0","medium","4",""
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","2","0","2","0","0.0","","","0","0","0","2","insufficient_data","",""
"Costa Rica","CRC-MECH-007","electoral_remedies","remedy","6","4","19","8","0.5","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","5","2","6","11","medium","5",""
"Costa Rica","CRC-MECH-008","constitutional_remedies","remedy","5","5","28","18","0.8","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","7","3","15","10","low","5",""
"Costa Rica","CRC-MECH-009","legislative_petition_or_participation","legislative","3","3","6","3","0.3333","CRC-ACT-008","Poder Ejecutivo","2","0","3","3","insufficient_data","4",""
"Costa Rica","CRC-MECH-010","transparency_and_accountability","transparency","2","2","1","1","0.5","CRC-ACT-005","Asamblea Legislativa","1","0","1","0","insufficient_data","4",""
"Costa Rica","CRC-MECH-011","electoral_authority_internal_governance","governance","6","6","46","35","0.5667","CRC-ACT-001","Tribunal Supremo de Elecciones (TSE)","8","1","34","11","low","4",""
"Costa Rica","CRC-MECH-012","civil_registry_electoral_functions","registry","2","0","2","0","0.0","","","0","0","0","2","insufficient_data","5",""
"Mexico","MEX-MECH-","","other","8","8","61","47","0.3929","MEX-ACT-008","Fiscalía General de la República (FGR)","11","1","46","14","low","",""
"Mexico","MEX-MECH-001","vote","participation","9","9","243","183","0.6389","MEX-ACT-001","Instituto Nacional Electoral (INE)","13","35","148","60","low","5",""
"Mexico","MEX-MECH-002","right_to_stand_for_election","candidacy","10","9","80","25","0.2222","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","8","5","20","55","low","4",""
"Mexico","MEX-MECH-003","political_parties","party_governance","9","9","173","92","0.5417","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","12","11","81","81","low","4",""
"Mexico","MEX-MECH-004","independent_candidacies","candidacy","9","3","29","2","0.3333","MEX-ACT-007","Ciudadanos / Ciudadanas","2","1","1","27","insufficient_data","5",""
"Mexico","MEX-MECH-005","citizen_initiative","legislative","7","3","8","4","0.6667","MEX-ACT-001","Instituto Nacional Electoral (INE)","3","0","4","4","medium","4",""
"Mexico","MEX-MECH-006","popular_consultation","participation","8","5","52","18","0.7","MEX-ACT-001","Instituto Nacional Electoral (INE)","7","2","16","34","low","5",""
"Mexico","MEX-MECH-007","recall","participation","8","5","30","11","0.55","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","7","3","8","19","medium","5",""
"Mexico","MEX-MECH-008","electoral_remedies","remedy","9","8","97","32","0.4107","MEX-ACT-002","Tribunal Electoral del Poder Judicial de la Federación (TEPJF)","10","2","30","65","low","5",""
"Mexico","MEX-MECH-009","electoral_crimes","enforcement","6","4","9","7","0.5833","MEX-ACT-001","Instituto Nacional Electoral (INE)","5","0","7","2","medium","4",""
"Mexico","MEX-MECH-010","legislative_petition_or_participation","legislative","7","0","12","0","0.0","","","0","0","0","12","insufficient_data","4",""
"Mexico","MEX-MECH-011","transparency_and_accountability","transparency","9","6","91","15","0.4","MEX-ACT-009","Secretaría de la Función Pública / Órganos Internos de Control","6","2","13","76","low","4",""
"Mexico","MEX-MECH-012","administrative_responsibility","enforcement","9","6","69","36","0.8","MEX-ACT-004","Congreso de la Unión — Cámara de Diputados","10","0","36","33","low","4",""
"Mexico","MEX-MECH-013","electoral_authority_internal_governance","governance","9","7","93","30","0.5238","MEX-ACT-001","Instituto Nacional Electoral (INE)","10","1","29","63","low","4",""
