"country","mechanism_id","mechanism_name","mechanism_category","process_stage","stage_actor_count","actors_in_stage","high_med_edges","stage_covered","coverage_notes"
"Costa Rica","COS-MECH-","","other","unknown_stage","3","CRC-ACT-005|CRC-ACT-008|CRC-ACT-009","2","true",""
"Costa Rica","CRC-MECH-001","vote","participation","activation","9","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","20","true",""
"Costa Rica","CRC-MECH-001","vote","participation","registration","5","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-005|CRC-ACT-007","5","true",""
"Costa Rica","CRC-MECH-001","vote","participation","verification","6","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-006|CRC-ACT-007","5","true",""
"Costa Rica","CRC-MECH-001","vote","participation","organization","5","CRC-ACT-001|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008","3","true",""
"Costa Rica","CRC-MECH-001","vote","participation","voting_or_participation","8","CRC-ACT-001|CRC-ACT-002|CRC-ACT-003|CRC-ACT-004|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","7","true",""
"Costa Rica","CRC-MECH-001","vote","participation","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Costa Rica","CRC-MECH-001","vote","participation","implementation","4","CRC-ACT-001|CRC-ACT-005|CRC-ACT-006|CRC-ACT-008","3","true",""
"Costa Rica","CRC-MECH-002","right_to_stand_for_election","candidacy","registration","2","CRC-ACT-002|CRC-ACT-006","1","true",""
"Costa Rica","CRC-MECH-002","right_to_stand_for_election","candidacy","verification","3","CRC-ACT-005|CRC-ACT-007|CRC-ACT-008","2","true",""
"Costa Rica","CRC-MECH-002","right_to_stand_for_election","candidacy","organization","0","","0","false","no functional edge found for stage 'organization'"
"Costa Rica","CRC-MECH-002","right_to_stand_for_election","candidacy","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Costa Rica","CRC-MECH-003","political_parties","party_governance","registration","3","CRC-ACT-001|CRC-ACT-006|CRC-ACT-008","2","true",""
"Costa Rica","CRC-MECH-003","political_parties","party_governance","verification","0","","0","false","no functional edge found for stage 'verification'"
"Costa Rica","CRC-MECH-003","political_parties","party_governance","organization","6","CRC-ACT-001|CRC-ACT-002|CRC-ACT-005|CRC-ACT-006|CRC-ACT-007|CRC-ACT-008","4","true",""
"Costa Rica","CRC-MECH-003","political_parties","party_governance","oversight","0","","0","false","no functional edge found for stage 'oversight'"
"Costa Rica","CRC-MECH-003","political_parties","party_governance","accountability","0","","0","false","no functional edge found for stage 'accountability'"
"Costa Rica","CRC-MECH-004","citizen_initiative","legislative","activation","0","","0","false","no functional edge found for stage 'activation'"
"Costa Rica","CRC-MECH-004","citizen_initiative","legislative","registration","3","CRC-ACT-001|CRC-ACT-005|CRC-ACT-007","2","true",""
"Costa Rica","CRC-MECH-004","citizen_initiative","legislative","verification","0","","0","false","no functional edge found for stage 'verification'"
"Costa Rica","CRC-MECH-004","citizen_initiative","legislative","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Costa Rica","CRC-MECH-005","referendum","participation","activation","4","CRC-ACT-001|CRC-ACT-005|CRC-ACT-007|CRC-ACT-008","3","true",""
"Costa Rica","CRC-MECH-005","referendum","participation","registration","0","","0","false","no functional edge found for stage 'registration'"
"Costa Rica","CRC-MECH-005","referendum","participation","verification","0","","0","false","no functional edge found for stage 'verification'"
"Costa Rica","CRC-MECH-005","referendum","participation","organization","0","","0","false","no functional edge found for stage 'organization'"
"Costa Rica","CRC-MECH-005","referendum","participation","voting_or_participation","0","","0","false","no functional edge found for stage 'voting_or_participation'"
"Costa Rica","CRC-MECH-005","referendum","participation","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Costa Rica","CRC-MECH-005","referendum","participation","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","activation","0","","0","false","no functional edge found for stage 'activation'"
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","registration","0","","0","false","no functional edge found for stage 'registration'"
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","verification","0","","0","false","no functional edge found for stage 'verification'"
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","organization","0","","0","false","no functional edge found for stage 'organization'"
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","voting_or_participation","0","","0","false","no functional edge found for stage 'voting_or_participation'"
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","adjudication","0","","0","false","no functional edge found for stage 'adjudication'"
"Costa Rica","CRC-MECH-006","consultative_referendum_or_preliminary_consultation","participation","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Costa Rica","CRC-MECH-007","electoral_remedies","remedy","activation","0","","0","false","no functional edge found for stage 'activation'"
"Costa Rica","CRC-MECH-007","electoral_remedies","remedy","adjudication","4","CRC-ACT-001|CRC-ACT-002|CRC-ACT-005|CRC-ACT-007","0","true",""
"Costa Rica","CRC-MECH-007","electoral_remedies","remedy","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Costa Rica","CRC-MECH-008","constitutional_remedies","remedy","activation","0","","0","false","no functional edge found for stage 'activation'"
"Costa Rica","CRC-MECH-008","constitutional_remedies","remedy","adjudication","4","CRC-ACT-004|CRC-ACT-005|CRC-ACT-008|CRC-ACT-009","5","true",""
"Costa Rica","CRC-MECH-008","constitutional_remedies","remedy","implementation","0","","0","false","no functional edge found for stage 'implementation'"
"Costa Rica","CRC-MECH-009","legislative_petition_or_participation","legislative","activation","3","CRC-ACT-005|CRC-ACT-008|CRC-ACT-009","2","true",""
"Costa Rica","CRC-MECH-009","legislative_petition_or_participation","legislative","registration","0","","0","false","no functional edge found for stage 'registration'"
"Costa Rica","CRC-MECH-009","legislative_petition_or_participation","legislative","verification","0","","0","false","no functional edge found for stage 'verification'"
"Costa Rica","CRC-MECH-009","legislative_petition_or_participation","legislative","implementation","3","CRC-ACT-005|CRC-ACT-008|CRC-ACT-009","1","true",""
"Costa Rica","CRC-MECH-010","transparency_and_accountability","transparency","transparency","0","","0","false","no functional edge found for stage 'transparency'"
"Costa Rica","CRC-MECH-010","transparency_and_accountability","transparency","accountability","0","","0","false","no functional edge found for stage 'accountability'"
"Costa Rica","CRC-MECH-010","transparency_and_accountability","transparency","oversight","2","CRC-ACT-005|CRC-ACT-008","1","true",""
"Costa Rica","CRC-MECH-011","electoral_authority_internal_governance","governance","internal_governance","6","CRC-ACT-001|CRC-ACT-002|CRC-ACT-005|CRC-ACT-007|CRC-ACT-008|CRC-ACT-009","28","true",""
"Costa Rica","CRC-MECH-011","electoral_authority_internal_governance","governance","oversight","0","","0","false","no functional edge found for stage 'oversight'"
"Costa Rica","CRC-MECH-011","electoral_authority_internal_governance","governance","accountability","0","","0","false","no functional edge found for stage 'accountability'"
"Costa Rica","CRC-MECH-012","civil_registry_electoral_functions","registry","registration","0","","0","false","no functional edge found for stage 'registration'"
"Costa Rica","CRC-MECH-012","civil_registry_electoral_functions","registry","verification","0","","0","false","no functional edge found for stage 'verification'"
