"provision_id","source_id","citation","mechanism","authority","actor","obligation_or_faculty","legal_anchor_type","anchor_strength","senate_reference_type","senate_as_grammatical_subject","has_functional_keyword","in_target_mechanism","functional_types","patch_candidate","text_excerpt"
"MEX-LFCP-0004","MEX-LFCP","MEX-LFCP 3","popular_consultation","INE|TEPJF|SCJN|Congress","INE|TEPJF|SCJN|Congress","obligation","statutory","4","generic_congress","no","yes","yes","popular_consultation_procedure","no","La aplicación de las normas de esta Ley corresponde al Congreso de la Unión, a la Suprema Corte de Justicia de la Nación, al Instituto Nacional Electoral y al Tribunal Electoral del Poder Judicial de la Federación, en sus respectivos ámbitos de competencia. En el caso del Instituto, la organización "
"MEX-LFCP-0012","MEX-LFCP","MEX-LFCP 9 Fr. IV.","popular_consultation","Congress","Congress","","statutory","4","generic_congress","no","yes","yes","popular_consultation_procedure","no","IV. Constitución: Constitución Política de los Estados Unidos Mexicanos; V. Convocatoria: Convocatoria de consulta popular expedida por el Congreso de la Unión;"
"MEX-LFCP-0026","MEX-LFCP","MEX-LFCP 12 Fr. III.","vote|popular_consultation","Congress","Congress|Citizens","","statutory","4","generic_congress","no","yes","yes","legislative_procedure|popular_consultation_procedure","no","III. Las ciudadanas y los ciudadanos en un número equivalente, al menos, al dos por ciento de las personas inscritas en la lista nominal de electores, para el caso de temas de trascendencia nacional, y el mismo porcentaje de las personas inscritas en la lista nominal de electores correspondiente a l"
"MEX-LFCP-0029","MEX-LFCP","MEX-LFCP 15","popular_consultation","Congress","Congress","","statutory","4","generic_congress","no","yes","yes","other_functional","no","El formato para la obtención de firmas lo determinarán las Cámaras del Congreso de la Unión, previa consulta al Instituto, preservando que cumpla con los requisitos que señala esta Ley y que deberá contener por lo menos: I. El tema de trascendencia nacional o regional competencia de la Federación pl"
"MEX-LFCP-0031","MEX-LFCP","MEX-LFCP 15 Fr. IV.","vote|popular_consultation","Congress","Congress|Citizens","","statutory","4","generic_congress","no","yes","yes","popular_consultation_procedure","no","IV. El nombre, firma, la clave de elector o el número identificador al reverso de la credencial de elector derivado del reconocimiento óptico de caracteres (OCR) de la credencial para votar con fotografía vigente, y V. La fecha de expedición. Si las firmas se presentaran en un formato diverso al ent"
"MEX-LFCP-0032","MEX-LFCP","MEX-LFCP 16","vote|popular_consultation","SCJN|Congress","SCJN|Congress|Citizens","faculty","statutory","4","generic_congress","no","yes","yes","legislative_procedure|popular_consultation_procedure","no","El Presidente de la República sólo podrá presentar una petición para cada jornada de consulta popular. Tratándose de las peticiones de consulta popular formuladas por las legisladoras y los legisladores integrantes de las Cámaras del Congreso, serán objeto de la Convocatoria aquellas que sean admiti"
"MEX-LFCP-0051","MEX-LFCP","MEX-LFCP 27 Fr. IV.","popular_consultation","SCJN","SCJN","","statutory","4","specific","no","yes","yes","legislative_procedure|popular_consultation_procedure","no","IV. Aprobada la petición por el Congreso, la Cámara revisora la enviará a la Suprema Corte junto con la propuesta de pregunta para que resuelva y le notifique sobre su constitucionalidad dentro de un plazo de veinte días naturales; Fracción recorrida DOF 19-05-2021 V. Recibida la solicitud del Congr"
"MEX-LFCP-0052","MEX-LFCP","MEX-LFCP 27 Fr. VI.","","SCJN","SCJN","","statutory","3","specific","no","yes","no","legislative_procedure|popular_consultation_procedure","no","VI. En el supuesto de que la Suprema Corte declare la inconstitucionalidad de la materia de la consulta, la Presidencia de la Mesa Directiva de la Cámara revisora publicará la resolución en la Gaceta, dará cuenta y procederá a su archivo como asunto total y definitivamente concluido, y"
"MEX-LFCP-0082","MEX-LFCP","MEX-LFCP 41","popular_consultation","Congress","Congress|Citizens","faculty","statutory","4","generic_congress","no","yes","yes","popular_consultation_procedure","no","El Instituto promoverá la difusión y discusión informada de las consultas que hayan sido convocadas por el Congreso de la Unión a través de los tiempos de radio y la televisión que correspondan al propio Instituto. Cuando a juicio del Instituto el tiempo total en radio y televisión a que se refiere "
"MEX-LFCP-0118","MEX-LFCP","MEX-LFCP 65","popular_consultation|electoral_remedies|electoral_authority_internal_governance","INE|Congress","INE|Congress|Citizens","","statutory","4","generic_congress","no","yes","yes","legislative_procedure|popular_consultation_procedure","no","El recurso de apelación previsto en la Ley General del Sistema de Medios de Impugnación en Materia Electoral será procedente para impugnar el informe que rinda el Secretario Ejecutivo del Instituto sobre el resultado de la verificación del porcentaje señalado en el artículo 35, fracción VIII, numera"
"MEX-LFRM-0061","MEX-LFRM","MEX-LFRM 58","vote|recall|electoral_remedies","TEPJF|SCJN|Congress","TEPJF|SCJN|Congress|Citizens","","statutory","4","generic_congress","no","yes","yes","other_functional","no","La revocación de mandato sólo procederá por mayoría absoluta. Cuando la declaratoria de validez que emita el Tribunal Electoral indique que la participación total de la ciudadanía en el proceso de revocación de mandato fue, al menos, del cuarenta por ciento de las personas inscritas en la lista nomi"
