country;source_id;source_title;actor_id;actor_name;actor_type;mechanisms;relationship_types;process_stages;edge_count;highest_anchor_strength;manual_review_required;implication;notes
Costa Rica;CRC-CPOL;CRC-CPOL;Sala_Constitucional;Sala_Constitucional;Institutional;constitutional_remedies|vote|electoral_authority_internal_governance;;Implementation;1;5;false;Actor Sala_Constitucional is mandated by this instrument.;
Costa Rica;CRC-CPOL;CRC-CPOL;Juntas_Electorales;Juntas_Electorales;Institutional;electoral_remedies|civil_registry_electoral_functions|vote;;Implementation;3;5;false;Actor Juntas_Electorales is mandated by this instrument.;
Costa Rica;CRC-CPOL;CRC-CPOL;TSE;TSE;Institutional;civil_registry_electoral_functions|vote|electoral_remedies|political_parties|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;17;5;false;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-CPOL;CRC-CPOL;Registro_Civil;Registro_Civil;Institutional;electoral_remedies|civil_registry_electoral_functions|vote|electoral_authority_internal_governance;;Implementation;8;5;false;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-CPOL;CRC-CPOL;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|referendum|citizen_initiative|electoral_remedies|political_parties|right_to_stand_for_election|electoral_authority_internal_governance;obligation|faculty;Implementation;13;5;false;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-CPOL;CRC-CPOL;Partidos_Politicos;Partidos_Politicos;Institutional;vote|referendum|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|electoral_authority_internal_governance;faculty;Implementation;4;5;false;Actor Partidos_Politicos is mandated by this instrument.;
Costa Rica;CRC-CPOL;CRC-CPOL;Corte_Suprema;Corte_Suprema;Institutional;civil_registry_electoral_functions|vote|legislative_petition_or_participation|right_to_stand_for_election|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;30;5;false;Actor Corte_Suprema is mandated by this instrument.;
Costa Rica;CRC-CPOL;CRC-CPOL;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;vote|referendum|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;49;5;false;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-CPOL;CRC-CPOL;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;vote|referendum|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;67;5;false;Actor Asamblea_Legislativa is mandated by this instrument.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;Sala_Constitucional;Sala_Constitucional;Institutional;constitutional_remedies;obligation;Implementation;2;4;false;Actor Sala_Constitucional is mandated by this instrument.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;Juntas_Electorales;Juntas_Electorales;Institutional;political_parties|civil_registry_electoral_functions|vote|electoral_authority_internal_governance;obligation|faculty;Implementation;4;4;false;Actor Juntas_Electorales is mandated by this instrument.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;TSE;TSE;Institutional;civil_registry_electoral_functions|vote|electoral_remedies|political_parties|electoral_authority_internal_governance;obligation|faculty;Implementation;52;4;false;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|electoral_remedies|political_parties|electoral_authority_internal_governance;obligation|faculty;Implementation;23;4;false;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;Registro_Civil;Registro_Civil;Institutional;civil_registry_electoral_functions|vote|electoral_remedies|political_parties|electoral_authority_internal_governance;obligation|faculty;Implementation;65;4;false;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;Partidos_Politicos;Partidos_Politicos;Institutional;civil_registry_electoral_functions|vote|political_parties|right_to_stand_for_election|electoral_authority_internal_governance;faculty;Implementation;7;4;false;Actor Partidos_Politicos is mandated by this instrument.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;Poder_Ejecutivo;Poder_Ejecutivo;Institutional;electoral_remedies|civil_registry_electoral_functions|vote|electoral_authority_internal_governance;obligation|faculty;Implementation;3;4;false;Actor Poder_Ejecutivo is mandated by this instrument.;
Costa Rica;CRC-LOTSRC;CRC-LOTSRC;Asamblea_Legislativa;Asamblea_Legislativa;Institutional;civil_registry_electoral_functions|electoral_authority_internal_governance;;Implementation;1;4;false;Actor Asamblea_Legislativa is mandated by this instrument.;
Costa Rica;CRC-CE;CRC-CE;Sala_Constitucional;Sala_Constitucional;Institutional;civil_registry_electoral_functions|vote|electoral_remedies|political_parties|constitutional_remedies|electoral_authority_internal_governance;obligation;Implementation;2;4;false;Actor Sala_Constitucional is mandated by this instrument.;
Costa Rica;CRC-CE;CRC-CE;Juntas_Electorales;Juntas_Electorales;Institutional;civil_registry_electoral_functions|vote|electoral_remedies|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;54;4;false;Actor Juntas_Electorales is mandated by this instrument.;
Costa Rica;CRC-CE;CRC-CE;TSE;TSE;Institutional;civil_registry_electoral_functions|vote|referendum|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;123;4;false;Actor TSE is mandated by this instrument.;
Costa Rica;CRC-CE;CRC-CE;Ciudadanos;Ciudadanos;Institutional;civil_registry_electoral_functions|vote|electoral_remedies|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;29;4;false;Actor Ciudadanos is mandated by this instrument.;
Costa Rica;CRC-CE;CRC-CE;Registro_Civil;Registro_Civil;Institutional;civil_registry_electoral_functions|vote|referendum|electoral_remedies|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;19;4;false;Actor Registro_Civil is mandated by this instrument.;
Costa Rica;CRC-CE;CRC-CE;Partidos_Politicos;Partidos_Politicos;Institutional;civil_registry_electoral_functions|vote|referendum|electoral_remedies|legislative_petition_or_participation|political_parties|right_to_stand_for_election|transparency_and_accountability|constitutional_remedies|electoral_authority_internal_governance;obligation|faculty;Implementation;127;4;false;Actor Partidos_Politicos is mandated by this instrument.;
Costa Rica;CRC-CE;CRC-CE;Corte_Suprema;Corte_Suprema;Institutional;political_parties|civil_registry_electoral_functions|vote|electoral_authority_internal_governance;obligation|faculty;Implementation;6;4;false;Actor Corte_Suprema is mandated by this instrument.;
