country;source_id;source_title;mechanism_id;mechanism_name;provision_count;actor_count;highest_anchor_strength;process_defined;timeline_defined;remedy_defined;accessibility_defined;transparency_defined;territorial_defined;administrative_dependence_flag;manual_review_required;implication;notes
Mexico;constitution;constitution;administrative_responsibility;administrative_responsibility;15;9;5;true;false;true;false;false;false;false;false;Instrument provides strong anchoring for administrative_responsibility.;
Mexico;constitution;constitution;electoral_authority_internal_governance;electoral_authority_internal_governance;15;9;5;true;false;true;false;false;false;false;false;Instrument provides strong anchoring for electoral_authority_internal_governance.;
Mexico;constitution;constitution;transparency_and_accountability;transparency_and_accountability;39;9;5;true;true;true;false;false;false;false;true;Instrument provides strong anchoring for transparency_and_accountability.;
Mexico;constitution;constitution;vote;vote;65;9;5;true;false;true;false;false;false;false;true;Instrument provides strong anchoring for vote.;
Mexico;constitution;constitution;political_parties;political_parties;41;9;5;true;false;true;false;false;false;false;true;Instrument provides strong anchoring for political_parties.;
Mexico;constitution;constitution;recall;recall;15;8;5;true;false;true;false;false;false;false;false;Instrument provides strong anchoring for recall.;
Mexico;constitution;constitution;citizen_initiative;citizen_initiative;3;3;5;true;false;true;false;false;false;false;true;Instrument provides strong anchoring for citizen_initiative.;
Mexico;constitution;constitution;right_to_stand_for_election;right_to_stand_for_election;26;8;5;true;false;true;false;false;false;false;false;Instrument provides strong anchoring for right_to_stand_for_election.;
Mexico;constitution;constitution;electoral_crimes;electoral_crimes;4;5;5;true;false;false;false;false;false;false;false;Instrument provides strong anchoring for electoral_crimes.;
Mexico;constitution;constitution;popular_consultation;popular_consultation;12;8;5;true;false;true;false;false;false;false;true;Instrument provides strong anchoring for popular_consultation.;
Mexico;constitution;constitution;electoral_remedies;electoral_remedies;17;8;5;true;false;true;false;false;false;false;true;Instrument provides strong anchoring for electoral_remedies.;
Mexico;constitution;constitution;legislative_petition_or_participation;legislative_petition_or_participation;8;7;5;true;false;true;false;false;false;false;false;Instrument provides strong anchoring for legislative_petition_or_participation.;
Mexico;constitution;constitution;independent_candidacies;independent_candidacies;5;6;5;true;false;true;false;false;false;false;false;Instrument provides strong anchoring for independent_candidacies.;
Mexico;general_law;general_law;administrative_responsibility;administrative_responsibility;146;9;4;true;true;true;false;false;false;false;true;Instrument provides strong anchoring for administrative_responsibility.;
Mexico;general_law;general_law;electoral_authority_internal_governance;electoral_authority_internal_governance;350;9;4;true;true;true;false;false;false;false;true;Instrument provides strong anchoring for electoral_authority_internal_governance.;
Mexico;general_law;general_law;political_parties;political_parties;588;9;4;true;true;true;false;false;false;false;true;Instrument provides strong anchoring for political_parties.;
Mexico;general_law;general_law;transparency_and_accountability;transparency_and_accountability;360;9;4;true;false;true;false;false;false;false;true;Instrument provides strong anchoring for transparency_and_accountability.;
Mexico;general_law;general_law;recall;recall;1;1;4;false;false;false;false;false;false;false;false;Instrument provides strong anchoring for recall.;
Mexico;general_law;general_law;legislative_petition_or_participation;legislative_petition_or_participation;22;7;4;true;false;false;false;false;false;false;true;Instrument provides strong anchoring for legislative_petition_or_participation.;
Mexico;general_law;general_law;citizen_initiative;citizen_initiative;3;3;4;true;false;true;false;false;false;false;true;Instrument provides strong anchoring for citizen_initiative.;
