country;source_id;source_title;principle_id;principle_name;evidence_count;related_mechanisms;highest_anchor_strength;coverage_type;coverage_strength;manual_review_required;implication;notes
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-008;PRIN-008;27;electoral_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;5;Statutory;Strong;false;Contributes to PRIN-008 preparedness via 3 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-011;PRIN-011;27;electoral_authority_internal_governance|civil_registry_electoral_functions|transparency_and_accountability;5;Statutory;Strong;false;Contributes to PRIN-011 preparedness via 3 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-001;PRIN-001;67;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum|electoral_remedies|constitutional_remedies|electoral_authority_internal_governance|civil_registry_electoral_functions;5;Statutory;Strong;false;Contributes to PRIN-001 preparedness via 9 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-005;PRIN-005;10;right_to_stand_for_election|political_parties|citizen_initiative;5;Statutory;Strong;false;Contributes to PRIN-005 preparedness via 3 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-003;PRIN-003;48;vote|right_to_stand_for_election|citizen_initiative|referendum;5;Statutory;Strong;false;Contributes to PRIN-003 preparedness via 4 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-004;PRIN-004;57;vote|right_to_stand_for_election|citizen_initiative|referendum|legislative_petition_or_participation;5;Statutory;Strong;false;Contributes to PRIN-004 preparedness via 5 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-006;PRIN-006;23;electoral_remedies|constitutional_remedies|electoral_authority_internal_governance;5;Statutory;Strong;false;Contributes to PRIN-006 preparedness via 3 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-002;PRIN-002;56;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum|civil_registry_electoral_functions;5;Statutory;Strong;false;Contributes to PRIN-002 preparedness via 6 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-009;PRIN-009;48;vote|right_to_stand_for_election|citizen_initiative|referendum;5;Statutory;Strong;false;Contributes to PRIN-009 preparedness via 4 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-010;PRIN-010;63;vote|right_to_stand_for_election|electoral_authority_internal_governance|civil_registry_electoral_functions;5;Statutory;Strong;false;Contributes to PRIN-010 preparedness via 4 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-012;PRIN-012;50;vote|right_to_stand_for_election|political_parties|citizen_initiative|referendum;5;Statutory;Strong;false;Contributes to PRIN-012 preparedness via 5 mechanisms.;
Costa Rica;CRC-CPOL;CRC-CPOL;PRIN-007;PRIN-007;23;political_parties|electoral_authority_internal_governance|transparency_and_accountability;5;Statutory;Strong;false;Contributes to PRIN-007 preparedness via 3 mechanisms.;
