"jur_id";"court_or_body";"case_or_document_title";"principle_id";"principle_name";"interpretive_relevance";"interpretive_test_or_standard";"binding_status";"interpretive_weight";"use_in_model";"affects_scoring";"manual_review_required";"notes"
"JURI-IACtHR-01";"IACtHR / Corte IDH";"Castañeda Gutman vs México";"PRIN-001";"legality_and_sufficient_legal_basis";"high";"strict_legality_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Castañeda establece que las restricciones al derecho a candidatura independiente deben tener base legal suficiente, precisa y proporcional."
"JURI-IACtHR-01";"IACtHR / Corte IDH";"Castañeda Gutman vs México";"PRIN-005";"pluralism_and_collective_representation";"high";"pluralism_and_non_monopoly_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"El Estado no puede otorgar monopolio absoluto a partidos políticos; el pluralismo exige reconocer formas alternativas de participación."
"JURI-IACtHR-01";"IACtHR / Corte IDH";"Castañeda Gutman vs México";"PRIN-006";"due_process_and_effective_remedy";"high";"effective_remedy_electoral_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"El recurso de amparo no era efectivo en materia electoral; el Estado debe proveer un recurso judicial efectivo específico."
"JURI-IACtHR-01";"IACtHR / Corte IDH";"Castañeda Gutman vs México";"PRIN-012";"restriction_legality_necessity_proportionality";"high";"proportionality_test_art23";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Restricciones al Art. 23 deben superar test de proporcionalidad y necesidad en sociedad democrática."
"JURI-IACtHR-02";"IACtHR / Corte IDH";"Yatama vs Nicaragua";"PRIN-002";"equality_and_non_discrimination";"high";"non_discrimination_indigenous_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"La exigencia de presentar candidatos únicamente a través de partidos políticos discrimina a comunidades indígenas."
"JURI-IACtHR-02";"IACtHR / Corte IDH";"Yatama vs Nicaragua";"PRIN-005";"pluralism_and_collective_representation";"high";"pluralism_diversity_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"El pluralismo político requiere proteger formas diversas de organización política, incluyendo organizaciones indígenas no partidistas."
"JURI-IACtHR-02";"IACtHR / Corte IDH";"Yatama vs Nicaragua";"PRIN-010";"territorial_and_multilevel_implementation";"high";"indigenous_territorial_participation_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Los derechos políticos de pueblos indígenas deben poder ejercerse a través de formas propias de organización territorial y comunitaria."
"JURI-IACtHR-02";"IACtHR / Corte IDH";"Yatama vs Nicaragua";"PRIN-012";"restriction_legality_necessity_proportionality";"high";"proportionality_test_art23";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"La restricción a candidaturas indígenas no partidistas no supera el test de proporcionalidad del Art. 23.2."
"JURI-IACtHR-03";"IACtHR / Corte IDH";"López Mendoza vs Venezuela";"PRIN-001";"legality_and_sufficient_legal_basis";"high";"taxativity_art232_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"Sólo una condena penal impuesta por juez competente puede restringir los derechos políticos del Art. 23.2; la inhabilitación administrativa carece de base convencional."
"JURI-IACtHR-03";"IACtHR / Corte IDH";"López Mendoza vs Venezuela";"PRIN-006";"due_process_and_effective_remedy";"high";"due_process_political_sanction_test";"binding_inter_american";"high";"refine_interpretive_test";"false";"true";"El órgano administrativo que impone sanciones con efecto en derechos políticos debe respetar garantías del debido proceso."
