"score_id";"country_code";"principle_id";"mechanism_id";"matched_provision_count";"max_anchor_strength";"actor_count";"implementation_readiness_score";"score_label";"dimension_checks_passed";"needs_review";"corpus_coverage_note"
"SCR-CRC-PRIN-001-vote";"CRC";"PRIN-001";"vote";"397";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-001-right_to_stand_for_e";"CRC";"PRIN-001";"right_to_stand_for_election";"63";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-001-political_parties";"CRC";"PRIN-001";"political_parties";"167";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-001-independent_candidac";"CRC";"PRIN-001";"independent_candidacies";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-001-citizen_initiative";"CRC";"PRIN-001";"citizen_initiative";"56";"5";"7";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-001-popular_consultation";"CRC";"PRIN-001";"popular_consultation";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-001-recall";"CRC";"PRIN-001";"recall";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-001-referendum";"CRC";"PRIN-001";"referendum";"70";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-001-electoral_remedies";"CRC";"PRIN-001";"electoral_remedies";"63";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-001-constitutional_remed";"CRC";"PRIN-001";"constitutional_remedies";"156";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-001-electoral_authority_";"CRC";"PRIN-001";"electoral_authority_internal_governance";"369";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-001-civil_registry_elect";"CRC";"PRIN-001";"civil_registry_electoral_functions";"175";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-002-vote";"CRC";"PRIN-002";"vote";"397";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-002-right_to_stand_for_e";"CRC";"PRIN-002";"right_to_stand_for_election";"63";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-002-political_parties";"CRC";"PRIN-002";"political_parties";"167";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-002-citizen_initiative";"CRC";"PRIN-002";"citizen_initiative";"56";"5";"7";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-002-referendum";"CRC";"PRIN-002";"referendum";"70";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-002-popular_consultation";"CRC";"PRIN-002";"popular_consultation";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-002-civil_registry_elect";"CRC";"PRIN-002";"civil_registry_electoral_functions";"175";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-003-vote";"CRC";"PRIN-003";"vote";"397";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|accessibility_measure";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-003-right_to_stand_for_e";"CRC";"PRIN-003";"right_to_stand_for_election";"63";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-003-citizen_initiative";"CRC";"PRIN-003";"citizen_initiative";"56";"5";"7";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-003-referendum";"CRC";"PRIN-003";"referendum";"70";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-003-popular_consultation";"CRC";"PRIN-003";"popular_consultation";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-004-vote";"CRC";"PRIN-004";"vote";"397";"5";"9";"5";"integrated_basis";"anchor_statutory|process_defined|actor_assigned|timeline_present|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-004-right_to_stand_for_e";"CRC";"PRIN-004";"right_to_stand_for_election";"63";"5";"9";"4";"strong_basis";"anchor_statutory|actor_assigned|timeline_present|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-004-citizen_initiative";"CRC";"PRIN-004";"citizen_initiative";"56";"5";"7";"4";"strong_basis";"anchor_statutory|process_defined|actor_assigned|timeline_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-004-referendum";"CRC";"PRIN-004";"referendum";"70";"5";"9";"5";"integrated_basis";"anchor_statutory|process_defined|actor_assigned|timeline_present|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-004-popular_consultation";"CRC";"PRIN-004";"popular_consultation";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-004-legislative_petition";"CRC";"PRIN-004";"legislative_petition_or_participation";"183";"5";"8";"4";"strong_basis";"anchor_statutory|actor_assigned|timeline_present|territorial_coverage";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-005-political_parties";"CRC";"PRIN-005";"political_parties";"167";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|restriction_criteria";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-005-independent_candidac";"CRC";"PRIN-005";"independent_candidacies";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-005-right_to_stand_for_e";"CRC";"PRIN-005";"right_to_stand_for_election";"63";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|restriction_criteria";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-005-citizen_initiative";"CRC";"PRIN-005";"citizen_initiative";"56";"5";"7";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|restriction_criteria";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-006-electoral_remedies";"CRC";"PRIN-006";"electoral_remedies";"63";"5";"9";"5";"integrated_basis";"anchor_statutory|process_defined|actor_assigned|timeline_present|remedy_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-006-constitutional_remed";"CRC";"PRIN-006";"constitutional_remedies";"156";"5";"9";"5";"integrated_basis";"anchor_statutory|process_defined|actor_assigned|timeline_present|remedy_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-006-electoral_crimes";"CRC";"PRIN-006";"electoral_crimes";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-006-administrative_respo";"CRC";"PRIN-006";"administrative_responsibility";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-CRC-PRIN-006-electoral_authority_";"CRC";"PRIN-006";"electoral_authority_internal_governance";"369";"5";"9";"4";"strong_basis";"anchor_statutory|actor_assigned|timeline_present|remedy_present";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-007-transparency_and_acc";"CRC";"PRIN-007";"transparency_and_accountability";"52";"5";"9";"4";"strong_basis";"anchor_statutory|actor_assigned|equality_measure|transparency_measure";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-007-political_parties";"CRC";"PRIN-007";"political_parties";"167";"5";"9";"4";"strong_basis";"anchor_statutory|actor_assigned|equality_measure|transparency_measure";"true";"includes_ral_commentary_risk"
"SCR-CRC-PRIN-007-electoral_authority_";"CRC";"PRIN-007";"electoral_authority_internal_governance";"369";"5";"9";"4";"strong_basis";"anchor_statutory|actor_assigned|equality_measure|transparency_measure";"true";"includes_ral_commentary_risk"
