"score_id";"country_code";"principle_id";"mechanism_id";"matched_provision_count";"max_anchor_strength";"actor_count";"implementation_readiness_score";"score_label";"dimension_checks_passed";"needs_review";"corpus_coverage_note"
"SCR-MEX-PRIN-001-vote";"MEX";"PRIN-001";"vote";"1041";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-right_to_stand_for_e";"MEX";"PRIN-001";"right_to_stand_for_election";"299";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-political_parties";"MEX";"PRIN-001";"political_parties";"702";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-independent_candidac";"MEX";"PRIN-001";"independent_candidacies";"146";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-citizen_initiative";"MEX";"PRIN-001";"citizen_initiative";"15";"5";"8";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-popular_consultation";"MEX";"PRIN-001";"popular_consultation";"198";"5";"8";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-recall";"MEX";"PRIN-001";"recall";"72";"5";"8";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-referendum";"MEX";"PRIN-001";"referendum";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-MEX-PRIN-001-electoral_remedies";"MEX";"PRIN-001";"electoral_remedies";"206";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|process_defined|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-constitutional_remed";"MEX";"PRIN-001";"constitutional_remedies";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-MEX-PRIN-001-electoral_authority_";"MEX";"PRIN-001";"electoral_authority_internal_governance";"431";"5";"9";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|timeline_present";"true";"ok"
"SCR-MEX-PRIN-001-civil_registry_elect";"MEX";"PRIN-001";"civil_registry_electoral_functions";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-MEX-PRIN-002-vote";"MEX";"PRIN-002";"vote";"1041";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|territorial_coverage";"true";"ok"
"SCR-MEX-PRIN-002-right_to_stand_for_e";"MEX";"PRIN-002";"right_to_stand_for_election";"299";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|territorial_coverage";"true";"ok"
"SCR-MEX-PRIN-002-political_parties";"MEX";"PRIN-002";"political_parties";"702";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|territorial_coverage";"true";"ok"
"SCR-MEX-PRIN-002-citizen_initiative";"MEX";"PRIN-002";"citizen_initiative";"15";"5";"8";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|territorial_coverage";"true";"ok"
"SCR-MEX-PRIN-002-referendum";"MEX";"PRIN-002";"referendum";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-MEX-PRIN-002-popular_consultation";"MEX";"PRIN-002";"popular_consultation";"198";"5";"8";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|territorial_coverage";"true";"ok"
"SCR-MEX-PRIN-002-civil_registry_elect";"MEX";"PRIN-002";"civil_registry_electoral_functions";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-MEX-PRIN-003-vote";"MEX";"PRIN-003";"vote";"1041";"5";"9";"5";"integrated_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure|accessibility_measure";"true";"ok"
"SCR-MEX-PRIN-003-right_to_stand_for_e";"MEX";"PRIN-003";"right_to_stand_for_election";"299";"5";"9";"3";"functional_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|equality_measure";"true";"ok"
"SCR-MEX-PRIN-003-citizen_initiative";"MEX";"PRIN-003";"citizen_initiative";"15";"5";"8";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned";"true";"ok"
"SCR-MEX-PRIN-003-referendum";"MEX";"PRIN-003";"referendum";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
"SCR-MEX-PRIN-003-popular_consultation";"MEX";"PRIN-003";"popular_consultation";"198";"5";"8";"4";"strong_basis";"anchor_statutory|constitutional_or_statutory_anchor|actor_assigned|accessibility_measure";"true";"ok"
"SCR-MEX-PRIN-004-vote";"MEX";"PRIN-004";"vote";"1041";"5";"9";"5";"integrated_basis";"anchor_statutory|process_defined|actor_assigned|timeline_present|territorial_coverage";"true";"ok"
"SCR-MEX-PRIN-004-right_to_stand_for_e";"MEX";"PRIN-004";"right_to_stand_for_election";"299";"5";"9";"4";"strong_basis";"anchor_statutory|actor_assigned|timeline_present|territorial_coverage";"true";"ok"
"SCR-MEX-PRIN-004-citizen_initiative";"MEX";"PRIN-004";"citizen_initiative";"15";"5";"8";"5";"integrated_basis";"anchor_statutory|process_defined|actor_assigned|timeline_present|territorial_coverage";"true";"ok"
"SCR-MEX-PRIN-004-referendum";"MEX";"PRIN-004";"referendum";"0";"0";"0";"0";"absent";"";"false";"mechanism_not_in_corpus"
