"principle_id";"principle_name";"mexico_avg_score";"mexico_gap_count";"mexico_critical_gaps";"costa_rica_avg_score";"costa_rica_gap_count";"costa_rica_critical_gaps";"binding_sources_count";"overall_preparedness_flag"
"PRIN-001";"legality_and_sufficient_legal_basis";"3.5";"3";"3";"3.5";"3";"3";"3";"partial"
"PRIN-002";"equality_and_non_discrimination";"3.29";"2";"2";"4.0";"1";"1";"6";"partial"
"PRIN-003";"accessibility_and_reasonable_accommodation";"3.2";"1";"1";"3.4";"1";"1";"4";"partial"
"PRIN-004";"effective_participation";"3.83";"1";"1";"3.67";"1";"1";"2";"partial"
"PRIN-005";"pluralism_and_collective_representation";"4.5";"0";"0";"3.25";"1";"1";"3";"partial"
"PRIN-006";"due_process_and_effective_remedy";"3.4";"1";"1";"2.8";"2";"2";"3";"partial"
"PRIN-007";"transparency_and_accountability";"4.0";"0";"0";"4.0";"0";"0";"1";"adequate"
"PRIN-008";"institutional_competence_and_independence";"3.0";"1";"1";"4.67";"0";"0";"2";"partial"
"PRIN-009";"procedural_certainty_and_time_limits";"4.0";"1";"1";"3.17";"2";"2";"2";"partial"
"PRIN-010";"territorial_and_multilevel_implementation";"3.25";"1";"1";"4.5";"0";"0";"3";"partial"
"PRIN-011";"administrative_capacity_and_resources";"2.67";"1";"1";"4.33";"0";"0";"1";"partial"
"PRIN-012";"restriction_legality_necessity_proportionality";"3.67";"1";"1";"3.5";"1";"1";"2";"partial"
