country;principle_id;principle_name;mechanism_id;mechanism_name;implementation_readiness_score;score_label;plain_language_interpretation;why_not_higher;review_priority;manual_review_required;notes
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;citizen_initiative;citizen_initiative;5;integrated_basis;The Costa Rica corpus establishes an integrated legal basis for legality and legal basis in the context of citizen legislative initiative. All 5 principle-specific dimensions are confirmed from constitutional, statutory, and implementing sources (56 matched provisions, max anchor=5): actor_assigned, anchor_statutory, constitutional_or_statutory_anchor, process_defined, timeline_present. Score 5 indicates comprehensive dimensional coverage in the current corpus. It does not constitute a finding of legal compliance with international obligations.;Score 5 is the maximum. All 5 whitelist dimensions are confirmed. Further improvement requires enhanced operational implementation, not additional legal text.;low;false;Score 5: all 5/5 whitelist dimensions confirmed. Integrated corpus evidence — not legal compliance. 
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;civil_registry_electoral_functions;civil_registry_electoral_functions;5;integrated_basis;The Costa Rica corpus establishes an integrated legal basis for legality and legal basis in the context of civil registry and electoral roll functions. All 5 principle-specific dimensions are confirmed from constitutional, statutory, and implementing sources (175 matched provisions, max anchor=5): actor_assigned, anchor_statutory, constitutional_or_statutory_anchor, process_defined, timeline_present. Score 5 indicates comprehensive dimensional coverage in the current corpus. It does not constitute a finding of legal compliance with international obligations.;Score 5 is the maximum. All 5 whitelist dimensions are confirmed. Further improvement requires enhanced operational implementation, not additional legal text.;low;false;Score 5: all 5/5 whitelist dimensions confirmed. Integrated corpus evidence — not legal compliance. 
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;constitutional_remedies;constitutional_remedies;5;integrated_basis;The Costa Rica corpus establishes an integrated legal basis for legality and legal basis in the context of constitutional remedies (amparo/habeas corpus). All 5 principle-specific dimensions are confirmed from constitutional, statutory, and implementing sources (156 matched provisions, max anchor=5): actor_assigned, anchor_statutory, constitutional_or_statutory_anchor, process_defined, timeline_present. Score 5 indicates comprehensive dimensional coverage in the current corpus. It does not constitute a finding of legal compliance with international obligations.;Score 5 is the maximum. All 5 whitelist dimensions are confirmed. Further improvement requires enhanced operational implementation, not additional legal text.;low;false;Score 5: all 5/5 whitelist dimensions confirmed. Integrated corpus evidence — not legal compliance. 
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;electoral_authority_internal_governance;electoral_authority_internal_governance;4;strong_basis;The Costa Rica corpus establishes a strong legal basis for legality and legal basis in the context of electoral authority internal governance (INE/TSE). The framework is grounded in constitutional and statutory sources (369 matched provisions, max anchor-strength=5) and confirms 4 of 5 principle-specific dimensions: actor_assigned, anchor_statutory, constitutional_or_statutory_anchor, timeline_present. This indicates a well-developed legal architecture with one operational gap in the current corpus.;Score 5 requires all 5 whitelist dimensions. Missing dimension: 'process_defined'. The mechanism is not currently classified as a citizen-facing participatory procedure in the pipeline model. Substantive procedural provisions may exist in the corpus but the process dimension was not awarded by the mechanism classification rule.;low;false;"Score 4: strong basis; 4/5 whitelist dimensions confirmed; missing: process_defined. Diagnostic legal preparedness — not a compliance finding."
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;electoral_remedies;electoral_remedies;5;integrated_basis;The Costa Rica corpus establishes an integrated legal basis for legality and legal basis in the context of electoral remedies and appeals. All 5 principle-specific dimensions are confirmed from constitutional, statutory, and implementing sources (63 matched provisions, max anchor=5): actor_assigned, anchor_statutory, constitutional_or_statutory_anchor, process_defined, timeline_present. Score 5 indicates comprehensive dimensional coverage in the current corpus. It does not constitute a finding of legal compliance with international obligations.;Score 5 is the maximum. All 5 whitelist dimensions are confirmed. Further improvement requires enhanced operational implementation, not additional legal text.;low;false;Score 5: all 5/5 whitelist dimensions confirmed. Integrated corpus evidence — not legal compliance. 
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;independent_candidacies;independent_candidacies;0;absent;No provisions matching 'independent candidacies' were found in the Costa Rica corpus for legality and legal basis. The mechanism appears absent from the corpus: it may not be legally formalised in Costa Rica, may be regulated under a different label, or may not yet be included in the current provision table.;Score cannot rise above 0 without at least one matched provision. If the mechanism exists in domestic law under a different label, update corpus tagging.;low;true;Score 0: mechanism absent or below anchor threshold. Diagnostic — not a legal finding.
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;political_parties;political_parties;4;strong_basis;The Costa Rica corpus establishes a strong legal basis for legality and legal basis in the context of political party regulation. The framework is grounded in constitutional and statutory sources (167 matched provisions, max anchor-strength=5) and confirms 4 of 5 principle-specific dimensions: actor_assigned, anchor_statutory, constitutional_or_statutory_anchor, timeline_present. This indicates a well-developed legal architecture with one operational gap in the current corpus.;Score 5 requires all 5 whitelist dimensions. Missing dimension: 'process_defined'. The mechanism is not currently classified as a citizen-facing participatory procedure in the pipeline model. Substantive procedural provisions may exist in the corpus but the process dimension was not awarded by the mechanism classification rule.;low;false;"Score 4: strong basis; 4/5 whitelist dimensions confirmed; missing: process_defined. Diagnostic legal preparedness — not a compliance finding."
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;popular_consultation;popular_consultation;0;absent;No provisions matching 'popular consultation (referéndum/consulta)' were found in the Costa Rica corpus for legality and legal basis. The mechanism appears absent from the corpus: it may not be legally formalised in Costa Rica, may be regulated under a different label, or may not yet be included in the current provision table.;Score cannot rise above 0 without at least one matched provision. If the mechanism exists in domestic law under a different label, update corpus tagging.;low;true;Score 0: mechanism absent or below anchor threshold. Diagnostic — not a legal finding.
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;recall;recall;0;absent;No provisions tagged to 'recall of elected officials' were found in the Costa Rica corpus for legality and legal basis. This may reflect mechanism absence, a vocabulary mismatch in the domestic corpus tagging, or that this mechanism is not formally established in Costa Rica's current electoral legal framework.;Score cannot rise above 0 without matched provisions. Verify whether this mechanism is regulated under a different label in domestic law.;medium;true;Score 0: mechanism absent or below anchor threshold. Diagnostic — not a legal finding.
Costa Rica;PRIN-001;legality_and_sufficient_legal_basis;referendum;referendum;5;integrated_basis;The Costa Rica corpus establishes an integrated legal basis for legality and legal basis in the context of referendum mechanism. All 5 principle-specific dimensions are confirmed from constitutional, statutory, and implementing sources (70 matched provisions, max anchor=5): actor_assigned, anchor_statutory, constitutional_or_statutory_anchor, process_defined, timeline_present. Score 5 indicates comprehensive dimensional coverage in the current corpus. It does not constitute a finding of legal compliance with international obligations.;Score 5 is the maximum. All 5 whitelist dimensions are confirmed. Further improvement requires enhanced operational implementation, not additional legal text.;low;false;Score 5: all 5/5 whitelist dimensions confirmed. Integrated corpus evidence — not legal compliance. 
