source_id;issuing_body;document_type;document_number_or_law_number;short_name;subject_matter;mechanism_or_right_covered;activation_requirements_addressed;institutional_role_in_mechanism;legal_hierarchy_level;official_source_url;download_url_or_access_method;publication_date_or_year;last_amendment_date_or_date_range;vigency_status;metadata_risk;vigency_risk;priority_level;proposed_md_filename;target_folder;notes
CR-CONST-01;Asamblea Legislativa — Constitución Política de Costa Rica;constitutional_text;N/A — text adopted 1949 with subsequent reforms;Constitución Política de Costa Rica (1949);Derechos políticos | sufragio | partidos políticos | referéndum | competencias del TSE | Poder Ejecutivo | Asamblea Legislativa;vote | be_voted | referendum | iniciativa_ciudadana | registro_partido;Art. 95 (principios del sufragio) | Art. 96 (financiamiento de partidos) | Art. 98 (derechos de partidos) | Art. 102 (competencias exclusivas del TSE) | Art. 105 (referéndum — requisito de un 5% o de la Asamblea) | Art. 123 (iniciativa legislativa incluyendo ciudadana);TSE (Art. 102) | Asamblea Legislativa (Art. 121) | Presidencia (Art. 140);constitutional;https://www.tse.go.cr/pdf/normativa/constitucion.pdf;https://www.tse.go.cr/pdf/normativa/constitucion.pdf;1949;Verify latest reform from La Gaceta — confirm exact date;vigent — verify;medium;low;P1;costa_rica_constitucion_politica_1949.md;01_sources/costa_rica/md/;BASE JURÍDICA FUNDAMENTAL — todo el sistema de participación política de Costa Rica emana de la Constitución. El corpus de Costa Rica está completamente vacío. Esta es la primera fuente a adquirir. Art. 102 otorga al TSE jurisdicción exclusiva y excluyente en materia electoral — clave para el actor mapping. Art. 105 establece el referéndum como mecanismo de participación directa. Verificar última reforma constitucional.
CR-STAT-01;Asamblea Legislativa;statute;Ley 8765;Código Electoral (Ley 8765 — 2009);Código Electoral central — partidos políticos | financiamiento | candidaturas | paridad | procesos electorales | mecanismos electorales;vote | be_voted | registro_partido | candidatura_independiente;Requisitos de afiliación y registro de partidos | criterios de candidatura | paridad de género | financiamiento | procedimientos electorales | sanciones;TSE (autoridad central) | Asamblea Legislativa (trámite de reformas) | partidos (actores primarios);statutory — national;https://www.tse.go.cr/pdf/normativa/codigoelectoral.pdf;https://www.tse.go.cr/pdf/normativa/codigoelectoral.pdf;2009;Verify current consolidated version — check for amendments post-2009;vigent — verify;medium;low;P1;costa_rica_codigo_electoral_ley_8765_2009.md;01_sources/costa_rica/md/;Ley electoral central de Costa Rica — equivalente funcional de la LGIPE en México. Contiene todo el derecho electoral sustantivo: candidaturas, partidos, paridad, financiamiento, procesos. Verificar versión consolidada vigente incluyendo reformas de paridad de género.
CR-STAT-02;Asamblea Legislativa;statute;Ley 8492;Ley sobre Regulación del Referéndum (Ley 8492 — 2006);Referéndum — procedimiento de activación | umbrales | materias excluidas | organización por el TSE | efectos jurídicos | control jurisdiccional;referendum;Umbral de activación: 5% del padrón (ciudadanos) o quórum de la Asamblea (mayoría absoluta) | materias excluidas (presupuesto, tributaria, contratación administrativa, derechos fundamentales garantizados) | plazo | TSE como organizador | efecto vinculante | revisión de constitucionalidad previa;TSE (organizador exclusivo) | Sala IV (control constitucional previo) | Asamblea (puede convocar sin umbral ciudadano) | Poder Ejecutivo (puede convocar);statutory — national;http://www.pgrweb.go.cr/scij/Busqueda/Normativa/Normas/nrm_texto_completo.aspx?param1=NRTC&nValor1=1&nValor2=56233;SCIJ (PGR) — Sistema Costarricense de Información Jurídica;2006;Verify current consolidated version;vigent — verify;medium;medium;P1;costa_rica_ley_regulacion_referendum_8492_2006.md;01_sources/costa_rica/md/;Ley central del mecanismo de referéndum en Costa Rica (Art. 105 Constitución). El referéndum de Costa Rica de 2007 (CAFTA) fue el primero y más notable uso. Verificar exclusiones materiales y efectos vinculantes vs consultivos. Comparar con consulta popular mexicana.
CR-STAT-03;Asamblea Legislativa;statute;Ley 8491;Ley de Iniciativa Popular (Ley 8491 — 2006);Iniciativa popular en la formación de la ley — procedimiento | umbral | verificación TSE | trámite en Asamblea Legislativa;iniciativa_ciudadana;Umbral: 5% del padrón electoral | recolección de firmas | verificación por el TSE | presentación ante la Asamblea | trámite legislativo | plazo de resolución de la Asamblea;TSE (verificador de firmas) | Asamblea Legislativa (receptora y tramitadora) | ciudadanos (iniciadores);statutory — national;http://www.pgrweb.go.cr/scij/;SCIJ — buscar Ley 8491;2006;Verify;vigent — verify;medium;medium;P1;costa_rica_ley_iniciativa_popular_8491_2006.md;01_sources/costa_rica/md/;Equivalente funcional de la iniciativa ciudadana mexicana (Art. 35 fracc. VII CPEUM | LOCGEUM Art. 130). Comparar: umbral CR (5% padrón) vs umbral MX (0.13% padrón) — diferencia significativa. Verificar si la Asamblea Legislativa tiene plazo obligatorio de resolución o si la iniciativa puede morir en comisión.
CR-STAT-04;Asamblea Legislativa;statute;Ley 3504;Ley Orgánica del Tribunal Supremo de Elecciones (Ley 3504);Estructura | composición | competencias | autonomía | jurisdicción exclusiva del TSE;todos los mecanismos — actor mapping;Composición del TSE | proceso de nombramiento de magistrados | competencias exclusivas | relación con otros poderes del Estado | jurisdicción en materia de referéndum e iniciativa popular;TSE (sujeto de la ley);statutory — organic law;http://www.pgrweb.go.cr/scij/;SCIJ — buscar Ley 3504;Ley original 1964 — con reformas posteriores;Verify current consolidated version;vigent — verify;medium;low;P1;costa_rica_ley_organica_tse_3504.md;01_sources/costa_rica/md/;El TSE tiene jurisdicción exclusiva y excluyente en materia electoral por mandato constitucional (Art. 102). Esta ley es clave para el actor mapping y para entender la diferencia institucional fundamental con México (donde INE + TEPJF comparten competencias). Verificar versión consolidada vigente.
CR-STAT-05;Asamblea Legislativa;statute;Ley 7653;Código Municipal (Ley 7653 — 1998);Participación ciudadana a nivel municipal | cabildos abiertos | plebiscitos municipales | iniciativa popular municipal;consulta_popular | referendum (nivel municipal);Plebiscitos y consultas municipales — procedimiento de activación — rol de los concejos municipales;Concejo Municipal | TSE (supervisión) | alcaldías;statutory — national (governs subnational);http://www.pgrweb.go.cr/scij/;SCIJ — buscar Ley 7653;1998;Verify;vigent — verify;medium;medium;P2;costa_rica_codigo_municipal_7653_1998.md;01_sources/costa_rica/md/;P2 — Nivel municipal. Relevante si el análisis incluye mecanismos de participación directa a nivel local. El Código Municipal establece plebiscitos y consultas municipales que son distintos del referéndum nacional. Evaluar si se incluye en fase 1 bajo la excepción de fuentes municipales del source_protocol.
CR-ADMIN-01;TSE — Tribunal Supremo de Elecciones;administrative_regulation;Decreto TSE No. [número a confirmar];TSE — Reglamento del Referéndum;Referéndum — procedimiento operativo | recolección de firmas | verificación | admisibilidad | organización del proceso;referendum;Procedimiento de recolección del 5% del padrón | plazos | autenticación de firmas | causas de inadmisibilidad | convocatoria | campaña | jornada electoral;TSE (organizador y verificador exclusivo);administrative_regulation — secondary to Ley 8492;https://www.tse.go.cr/normativa.htm;TSE normativa portal — buscar "Reglamento del Referéndum" | identificar número de decreto y publicación en La Gaceta;Fecha a confirmar — verificar vigencia;Verify;vigent — verify;high;high;P1;costa_rica_tse_reglamento_referendum.md;01_sources/costa_rica/md/;ALTA INCERTIDUMBRE — verificar si el TSE tiene un reglamento general del referéndum vigente o si los lineamientos existen solo para el proceso 2007. El reglamento puede haber sido emitido como decreto TSE publicado en La Gaceta. Consultar la sección normativa del TSE y verificar.
CR-ADMIN-02;TSE — Tribunal Supremo de Elecciones;administrative_regulation;Decreto TSE No. [número a confirmar];TSE — Reglamento sobre Iniciativa Ciudadana en la Formación de la Ley;Iniciativa popular — verificación de firmas por el TSE — procedimiento operativo;iniciativa_ciudadana;Procedimiento de verificación del 5% del padrón por el TSE | plazos | autenticación | comunicación a la Asamblea Legislativa;TSE (verificador) | ciudadanos (iniciadores) | Asamblea (receptora);administrative_regulation — secondary to Ley 8491;https://www.tse.go.cr/normativa.htm;TSE normativa portal — buscar "iniciativa ciudadana" | "reglamento iniciativa popular";Fecha a confirmar;Verify;vigent — verify;high;high;P1;costa_rica_tse_reglamento_iniciativa_ciudadana.md;01_sources/costa_rica/md/;ALTA INCERTIDUMBRE — verificar si el TSE tiene reglamento vigente sobre iniciativa ciudadana o si el procedimiento se rige directamente por Ley 8491. Consultar normativa del TSE.
CR-ADMIN-03;Asamblea Legislativa;internal_regulation;N/A — Reglamento de la Asamblea;Reglamento de la Asamblea Legislativa (texto vigente);Procedimiento legislativo | admisión de proyectos | comisiones | debate | votación | trámite de iniciativa ciudadana;iniciativa_ciudadana;Trámite legislativo de la iniciativa popular una vez recibida del TSE | comisiones | plazos | votación | archivo;Asamblea Legislativa (receptora y tramitadora de la iniciativa popular);internal_regulation;http://www.asamblea.go.cr/;Asamblea Legislativa — portal oficial — sección normativa;Fecha a confirmar;Verify current version;vigent — verify;medium;low;P1;costa_rica_reglamento_asamblea_legislativa.md;01_sources/costa_rica/md/;Relevante para mapear el tramo legislativo de la iniciativa popular una vez que el TSE ha verificado las firmas. Determina si la Asamblea puede archivar la iniciativa, modificarla, o tiene plazo obligatorio para resolverla.
CR-ADMIN-04;TSE — Tribunal Supremo de Elecciones;administrative_regulation;Reglamento de Partidos Políticos del TSE;TSE — Reglamento de Partidos Políticos;Partidos políticos — registro | estatutos | asamblea constitutiva | padrón de adherentes | financiamiento | disolución;registro_partido;Requisitos de registro de nuevos partidos | número mínimo de adherentes | depósito de estatutos | procedimiento de registro ante TSE;TSE (registrador exclusivo de partidos);administrative_regulation — secondary to Código Electoral;https://www.tse.go.cr/normativa.htm;TSE normativa portal;Fecha a confirmar;Verify;vigent — verify;medium;medium;P2;costa_rica_tse_reglamento_partidos_politicos.md;01_sources/costa_rica/md/;P2 — Relevante para barrier mapping del mecanismo de registro de partidos. El TSE en Costa Rica concentra toda la competencia registral. Verificar requisitos de número mínimo de adherentes y procedimiento de registro — comparar con México (LGPP).
