priority_id;country_or_system;source_id;source_title;source_type;official_source_url;priority_level;reason_for_priority;mechanisms_or_rights_covered;expected_tables_to_feed;download_format;conversion_complexity;metadata_risk;vigency_risk;recommended_next_action;target_folder;proposed_md_filename;notes
MX-01;mexico;MX_CPEUM_2026;Constitución Política de los Estados Unidos Mexicanos (DOF 23-04-2026);constitutional_text;https://www.diputados.gob.mx/LeyesBiblio/pdf/CPEUM.pdf;P1;Base constitucional de todos los mecanismos en alcance. Arts. 35 (consulta popular | revocación | candidatura independiente) | 36 | 39 | 40 | 41 (INE | sistema electoral) | 71 (iniciativa ciudadana) | 99 (TEPJF) | 115-116 | 135;vote | be_voted | popular_initiative | consulta_popular | revocacion_mandato | independent_candidacy | electoral_system | political_parties | TEPJF_jurisdiction | constitutional_amendment;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges | barrier_typology | comparative_mapping;pdf;low;low;low;verify_existing_coverage_update_metadata — El archivo mexico_constitution_cpeum_latest_reform_2026_04_23.md ya existe. No crear duplicado. Verificar que el texto completo incluya arts. 35 | 36 | 41 | 99 | 135. Si cubre texto completo: actualizar metadata para proyecto de derechos políticos solamente;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_constitucion_politica_cpeum_2026.md;ARCHIVO YA EXISTE como mexico_constitution_cpeum_latest_reform_2026_04_23.md — No duplicar. Verificar cobertura de artículos de derechos políticos antes de proceder. Última reforma DOF 23-04-2026.
MX-02;mexico;MX_LGIPE_2024;Ley General de Instituciones y Procedimientos Electorales (LGIPE);statute;https://www.diputados.gob.mx/LeyesBiblio/pdf/LGIPE.pdf;P1;Ley electoral central. Define estructura del INE | procedimientos electorales | umbrales de activación | registro de partidos y candidaturas | verificación de apoyos | sanciones. Esencial para participation_mechanisms y activation_requirements;vote | be_voted | party_registration | candidate_registration | independent_candidacy | electoral_verification | INE_authority | electoral_sanctions;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges | barrier_typology;pdf;medium;low;medium;download_and_convert — Descargar texto consolidado de Cámara de Diputados. Verificar fecha de última reforma (múltiples reformas desde 2014 incluyendo reforma 2022 Plan B declarada inconstitucional). Convertir texto completo preservando numeración de artículos;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ley_general_instituciones_procedimientos_electorales_lgipe_2024.md;Documento extenso (500+ artículos). Verificar versión consolidada post-Plan B (reforma 2022 declarada inconstitucional por SCJN en 2023). vigency_risk medium por múltiples reformas.
MX-03;mexico;MX_LCP_2024;Ley Federal de Consulta Popular;statute;https://www.diputados.gob.mx/LeyesBiblio/pdf/LCPo.pdf;P1;Regula el mecanismo de consulta popular (Art. 35 fracc. VIII CPEUM). Define umbrales (2% padrón) | procedimientos de activación | rol del INE | revisión de la SCJN | resolución del Congreso | validez del resultado. Crítico para activation_requirements;consulta_popular | activation_threshold | INE_organization | SCJN_review | congressional_resolution | ballot_validity;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges | barrier_typology;pdf;low;low;medium;download_and_convert — Descargar texto consolidado. Verificar estado de reforma posterior a la consulta popular de 2021;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ley_federal_consulta_popular_lcp_2024.md;Primera consulta popular se realizó en 2021. Verificar si la ley fue reformada después de esa experiencia. vigency_risk medium.
MX-04;mexico;MX_LFRMPE_2021;Ley Federal de Revocación de Mandato del Presidente de la República Electa o Electo (LFRMPE);statute;https://www.diputados.gob.mx/LeyesBiblio/pdf/LFRMPE.pdf;P1;Regula el mecanismo de revocación de mandato (Art. 35 fracc. IX CPEUM — reforma constitucional 2019). Define umbrales (3% padrón) | rol del INE | momento del proceso (3er año) | validez. Primer ejercicio: abril 2022;revocacion_mandato | activation_threshold | INE_organization | ballot_validity | citizen_petition;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges | barrier_typology;pdf;low;low;medium;download_and_convert — Descargar texto consolidado. Verificar si fue reformada tras el ejercicio de abril 2022;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ley_federal_revocacion_mandato_lfrmpe_2021.md;Promulgada 2021. Primer ejercicio abril 2022 (AMLO — resultado debajo del umbral de participación). SCJN revisó constitucionalidad. Verificar reformas posteriores.
MX-05;mexico;MX_LGPP_2024;Ley General de Partidos Políticos (LGPP);statute;https://www.diputados.gob.mx/LeyesBiblio/pdf/LGPP.pdf;P1;Define registro | financiamiento | paridad de género | candidaturas | disolución de partidos políticos. Esencial para actors table y barrier_typology (barreras a registro y acceso a candidaturas);party_registration | party_financing | gender_parity | candidate_eligibility | party_dissolution | electoral_coalitions;corpus_index | domestic_provisions | actors | actor_mechanism_edges | barrier_typology | activation_requirements;pdf;medium;low;medium;download_and_convert — Verificar versión consolidada post-Plan B. La reforma 2022 fue declarada inconstitucional por SCJN en 2023;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ley_general_partidos_politicos_lgpp_2024.md;Múltiples reformas desde 2014. Reforma 2022 Plan B declarada inconstitucional. Verificar estado consolidado actual. Crítico para análisis de paridad y registro.
MX-06;mexico;MX_LGSMIME_2024;Ley General del Sistema de Medios de Impugnación en Materia Electoral (LGSMIME);statute;https://www.diputados.gob.mx/LeyesBiblio/pdf/LGSMIME.pdf;P1;Regula todos los medios de impugnación electoral incluyendo el JDC (juicio para protección de derechos político-electorales del ciudadano). Crítico para barrier_typology y jurisprudence_standards;electoral_remedies | JDC | JRC | standing | time_limits | TEPJF_jurisdiction | political_rights_protection;corpus_index | domestic_provisions | barrier_typology | jurisprudence_standards | actors | actor_mechanism_edges;pdf;low;low;medium;download_and_convert;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ley_general_sistema_medios_impugnacion_materia_electoral_lgsmime_2024.md;El JDC es el recurso individual primario para violaciones de derechos político-electorales en México. Esencial para mapeo de remedios.
MX-07;mexico;MX_TEPJF_JURISP;TEPJF — Jurisprudencia y Tesis en Materia Electoral (compilación temática derechos político-electorales);jurisprudence_compilation;https://www.te.gob.mx/jurisprudencia/;P1;El TEPJF ha desarrollado jurisprudencia vinculante sobre: candidaturas independientes | umbral de apoyos | paridad | participación indígena | alcance del JDC | proporcionalidad de restricciones. Esencial para jurisprudence_standards y barrier_typology;vote | be_voted | consulta_popular | revocacion_mandato | party_registration | gender_parity | indigenous_rights | JDC | electoral_sanctions;corpus_index | jurisprudence_standards | barrier_typology | activation_standards | comparative_mapping;pdf_or_html;high;low;medium;download_thematic_compilation — Acceder a base de datos oficial del TEPJF. Descargar compilación temática sobre: (1) derechos político-electorales del ciudadano (2) candidaturas independientes (3) consulta popular (4) revocación de mandato (5) paridad de género (6) comunidades indígenas. Distinguir jurisprudencia (vinculante) de tesis relevantes (orientadoras);/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_tepjf_jurisprudencia_derechos_politico_electorales.md;Base de datos dinámica. Verificar vigencia de cada tesis (vigente/superada). TEPJF emitió criterios clave post-Castañeda Gutman sobre candidaturas independientes. Incluir jurisprudencia desde J.1/2019 a la fecha.
MX-08;mexico;MX_INE_LIN_CP_2021;INE — Acuerdo INE/CG572/2021 — Lineamientos para la organización de la Consulta Popular 2021;administrative_regulation;https://repositoriodocumental.ine.mx/xmlui/handle/123456789/121158;P1;Define procedimiento operativo para la consulta popular 2021: recolección de firmas | verificación | cronograma | diseño de boleta | requisitos de validez. Crítico para activation_requirements a nivel operativo;consulta_popular | signature_collection | INE_verification | timeline | ballot_design;corpus_index | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges;pdf;medium;medium;medium;download_and_convert — Identificar el acuerdo que define umbrales y procedimiento de verificación de apoyos ciudadanos (no los acuerdos logísticos). Repositorio documental INE;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ine_acuerdo_lineamientos_consulta_popular_2021.md;metadata_risk medium — múltiples acuerdos emitidos para el proceso. Priorizar acuerdo que define umbrales y verificación. Número: CG572/2021.
MX-09;mexico;MX_INE_LIN_RM_2022;INE — Acuerdo INE/CG309/2022 — Lineamientos para la organización de la Revocación de Mandato 2022;administrative_regulation;https://repositoriodocumental.ine.mx/xmlui/handle/123456789/123001;P1;Define procedimiento para la revocación de mandato 2022: recolección de apoyos | verificación | cronograma | validez del proceso. Paralelo a MX-08 pero para el mecanismo de revocación;revocacion_mandato | signature_collection | INE_verification | timeline | ballot_validity;corpus_index | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges;pdf;medium;medium;medium;download_and_convert — Acceder a repositorio documental INE. Acuerdo CG309/2022;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ine_acuerdo_lineamientos_revocacion_mandato_2022.md;metadata_risk medium — verificar número exacto del acuerdo en repositorio documental INE. Fecha: enero-febrero 2022.
MX-10;mexico;MX_LOCGEUM_2024;Ley Orgánica del Congreso General de los Estados Unidos Mexicanos (LOCGEUM);statute;https://www.diputados.gob.mx/LeyesBiblio/pdf/LOCGEUM.pdf;P1;Define procedimientos parlamentarios para el procesamiento de iniciativas ciudadanas (Art. 71 fracc. IV CPEUM). Contiene requisitos de admisión y trámite de la iniciativa popular en ambas cámaras;iniciativa_ciudadana | legislative_process | popular_initiative | congressional_procedure;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements | actors | actor_mechanism_edges;pdf;low;low;medium;convert_existing_pdf — PDF ya disponible en 01_sources/mexico/pdf/H_LOCGEUM-8.pdf. Verificar que sea versión consolidada vigente comparando con Cámara de Diputados;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ley_organica_congreso_general_locgeum_2024.md;PDF ya existe como H_LOCGEUM-8.pdf. Verificar fecha de reforma del PDF antes de convertir. El sufijo -8 puede indicar número de reforma o versión.
MX-11;mexico;MX_REG_CAMARA_2024;Reglamento de la Cámara de Diputados;internal_regulation;https://www.diputados.gob.mx/LeyesBiblio/pdf/Reg_Diputados.pdf;P2;Regula procedimientos internos de la Cámara incluyendo admisión y trámite de iniciativas ciudadanas. Complementa LOCGEUM para el mecanismo de iniciativa popular;iniciativa_ciudadana | legislative_procedure | committee_referral;corpus_index | domestic_provisions | participation_mechanisms | activation_requirements;pdf;low;low;medium;convert_existing_pdf — PDF disponible como H_Reg_Diputados-4.pdf. Verificar versión vigente;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_reglamento_camara_diputados_2024.md;PDF ya existe como H_Reg_Diputados-4.pdf. Verificar fecha de reforma.
MX-12;mexico;MX_LAMP_2024;Ley de Amparo Reglamentaria de los Artículos 103 y 107 de la Constitución Política de los Estados Unidos Mexicanos;statute;https://www.diputados.gob.mx/LeyesBiblio/pdf/LAmp.pdf;P2;Define el amparo como remedio constitucional. Relevante para barrier_typology: el amparo queda excluido de materia electoral (Art. 99 CPEUM) — la tensión amparo/JDC es analíticamente importante;amparo | constitutional_remedy | electoral_exclusion | political_rights_protection;corpus_index | domestic_provisions | barrier_typology | jurisprudence_standards;pdf;low;low;medium;convert_existing_pdf — PDF disponible como H_LAmp.pdf. Verificar versión vigente;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ley_amparo_2024.md;PDF ya existe como H_LAmp.pdf. Bajo Art. 99 CPEUM el TEPJF tiene jurisdicción exclusiva en materia electoral y el amparo queda excluido. Esta distinción es clave para barrier_typology.
MX-13;mexico;MX_INE_REGLAMENTO_INTERIOR;Reglamento Interior del Instituto Nacional Electoral (INE);administrative_regulation;https://repositoriodocumental.ine.mx/xmlui/;P2;Define estructura interna del INE | unidades responsables de organización electoral | delegación de autoridad. Relevante para actors y actor_mechanism_edges;INE_structure | electoral_organization | institutional_competence;corpus_index | actors | actor_mechanism_edges;pdf;low;medium;medium;download_and_convert — Localizar versión vigente en repositorio documental del INE o DOF. Puede haber sido actualizado tras reformas 2022-2023;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/mexico/md/;mexico_ine_reglamento_interior_2024.md;metadata_risk medium — verificar fecha de publicación en DOF del reglamento vigente.
